nom,leonoreid,bnfids
Édouard Riou,LH/2336/15,119220311
Agénor de Gramont,LH/1185/22,124594384
Antoine Calbet,19800035/233/30963,12594431h | 14958747t
Joseph Halévy,LH/1259/20,135357215
Antoine Charles Louis Lasalle,LH/1489/56,13314121h
Pierre Boitard,LH/273/53,125912317
Clovis Vincent,LH/2710/23,131883601
Charles Seignobos,LH/273/53,119243540
Gustave Ferrié,LH/962/16,12313961k
Joseph-Marie Vien,LH/2698/38,12109720b
Bernard-Raymond Fabré-Palaprat,LH/922/16,15622962t
Pierre Gerlier,19800035/830/94709,122064459
Jean-François Raffaëlli,LH/2257/39,12208064z
Georges Madon,LH/1683/6,16270021r
Henri Büsser,19800035/1186/37585,13892015b
Alfred Martineau,19800035/235/31160,12460923h
Alfred Albert Martineau,19800035/235/31160,12460923h
Adolphe Dureau de la Malle,LH/871/40,12075414w
Pierre Montet,19800035/699/79883,119166512
Jean-Baptiste Édouard Bornet,LH/298/31,12329891w
Eugène Freyssinet,19800035/832/94902,129547018
Auguste-Alexandre Ducrot,LH/829/6,10691846t
Joseph-Nicolas Robert-Fleury,LH/2351/23,14831592t
Gabriel Auguste Daubrée,LH/666/7,12192910r
Jean-Jules-Antoine Lecomte du Nouÿ,LH/1536/28,149577467
Othon Friesz,19800035/799/90441,129479767
Georges-Charles de Heeckeren d'Anthès,LH/41/78,16754857c
Célestin Bouglé,19800035/1469/70098,118932313
Charles Cordier,LH/589/25,145462472
Joseph Nicollet,LH/1990/2,11951497f
Charles Philippe Robin,LH/2352/55,125419794
Théodore Nicolas Gobley,LH/1157/72,10396577z
Edmond Gondinet,LH/1166/60,119053644
Ulric Guttinguer,LH/1250/24,12396152s
Édouard Detaille,LH/762/3,12071531s
Sylvain Lévi,19800035/552/63046,119128102
Paul Guillaume,19800035/395/52918,12379316s
Louis Ducos du Hauron,LH/826/64,124631231
Félix Baciocchi,LH/87/65,154311658
Gabriel Delessert,LH/710/31,11330829c
Germain Demay,LH/725/48,126011109
Gratien Ferrier,LH/962/27,106162321
Henri-Joseph Dugué de La Fauconnerie,LH/837/47,12938055t
Henri Bachelet,LH/86/84,15555372n
Henri Deverin,LH/765/68,109459158
Henri Doniol,LH/789/4,119003898
Henri Duret,LH/872/7,13485964v
Henri Fonfrède,LH/992/3,12511943h
Hippolyte Dieu,LH/775/54,121254966
Hyacinthe Firmin Didot,LH/773/53,13743777v
Héliodore Pisan,LH/2172/7,140635033
Jacques-Alexis Jacquemin,LH/1341/69,10730565z
Jacques-François Roger,LH/2367/2,119223833
Jacques-Louis Dumesnil,19800035/218/28621,10584787g
Jacques-Louis Hulot,LH/1324/28,10687159g
Jacques Duhamel,19800035/1449/67612,121837049
Jacques Gabriel Bulliot,LH/392/95,130025891
Jacques Oudot,19800035/95/11960,10973291k
Jacques Siegfried,LH/2516/3,12398041b
Jean-Auguste Berthaut,LH/208/58,15290537s
Jean-Baptiste Gustave Deloye,LH/719/45,14886636v
Jean-Baptiste Mathias,19800035/1270/46349,112080028
Jean-Baptiste Philibert Willaumez,LH/2757/46,135179046
Jean-Baptiste Rougier de La Bergerie,LH/2395/67,12433019w
Jean-François Curée,LH/641/23,10522904s
Jean-François Friant,LH/1037/86,10629417m
Jean-François de Hercé,LH/1291/30,12330814g
Jean-Guillaume-Antoine Cuvelier,LH/642/93,12524433r
Jean-Joseph Bonaventure Laurens,LH/1499/39,12013071w
Jean-Louis Emmery,LH/896/45,12363224g
Jean-Pierre Morat,LH/1925/35,105726865
Jean-Robert Thomazo,19800035/1166/33087,16933778r
Jean-Victor Frond,LH/1042/38,14978375c
Jean Antoine Léon Bassot,LH/131/66,106911864
Jean Baptiste Simon Fèvre,LH/967/69,153201858
Jean Benoit-Lévy,19800035/304/40921,12439559z
Jean Bergonié,LH/191/22,137452231
Jean Bernard-Derosne,19800035/376/50413,14653320z
Jean Coignet,LH/561/25,102657795
Jean Augustin Ernouf,LH/901/17,15319243k
Jean Hervé,19800035/689/78870,14654101c
Jean Laville,LH/1507/83,15509511x
Jean Marie Benjamin Merveilleux du Vignaux,LH/1842/49,17748402w
Jean Montariol,19800035/699/79876,17777121q
Jean Navarre,LH/1978/14,15800022j
Jean Plichon,19800035/570/64835,15066641s
Jean Taurines,19800035/194/25278,10334663t
Jean de Broglie,19800035/1375/58867,119432259
"Jeanne, Joséphine, Désirée, Marie-Louise Mellier",19800035/1479/71715,120134025
Joseph François Joubert-Bonnaire,LH/1378/2,10687301q
Joseph Louvot,LH/1668/51,10705635w
Joseph Marie de Barral,LH/119/59,10581952n
Joseph de Gasté,LH/1084/61,132105800
Jules Grosjean,LH/1208/33,12902826c
Justin Godart,19800035/772/87523,123802276 | 15452870f
Ferdinand Arnodin,19800035/251/33512,10209616q
Ernest Daudet,LH/666/70,121034891
Jean-Augustin Capperonnier,LH/422/58,10639447r
Bon-Joseph Dacier,LH/644/80,12124963c
Louis de Robert,19800035/1283/48075,12114940h
Isidore Didion,LH/773/33,106008968
Louis Hersent,LH/1295/57,14980137j
Auguste Cain,LH/408/6,149709722
Auguste Lalance,LH/1448/48,10402203x
Auguste Lalance,LH/1448/48,10402203x
Albert Réville,LH/2306/54,12062256b
Georges Davy,19800035/1384/59925,12276955f
Henri Mordacq,LH/1926/25,13002984d
Benjamin Godard,LH/1158/15,12465667h
Jean Charbonneaux,19800035/1009/16596,12072765w
François Combes,LH/575/62,12462519n
Paul Lebeau,19800035/1484/72530,10864593z
Louis Fage,19800035/577/65561,12284761j
Pierre Justin Marie Macquart,LH/1681/91,13476350j
Jean-Baptiste Drouet d'Erlon,LH/806/42,124624824
Charles Alexandre Léon Durand de Linois,LH/869/65,13610549j
Anicet Charles Gabriel Lemonnier,LH/1583/50,12172300c
Alfred Bruneau,LH/381/78,11894306d
Victor de Fay de La Tour-Maubourg,LH/948/65,125345399
Jean-François Berruyer,LH/205/48,125444695
Alexandre-François Caminade,LH/414/26,14957910s
Émile Acollas,LH/6/2,12123468g
Joseph Hippolyte Guibert,LH/1226/88,10740951k
Louis Augustin Guillaume Bosc,LH/298/86,12530679v
Jacques Curie,19800035/128/16199,10304938t
Felia Litvinne,LH/1646/30,13896716k
Jules Marcou,LH/1733/41,12561243m
Gustave Pierre Trouvé,LH/2635/26,103795747
Gustave Trouvé,LH/2635/26,103795747
Philarète Chasles,LH/499/17,12298447b
Edmond Jurien de La Gravière,LH/1391/74,121378511
Eugène de Mazenod,LH/1811/36,11930287x
Léon Teisserenc de Bort,LH/2574/4,153361899
Dominique Martin Méon,LH/1829/25,126250781
Catulle Mendès,LH/1823/23,119155626
Hubert Henry,LH/1286/42,12564690z
Joseph-Marie Martin,19800035/1367/58006,12171950b
Casimir Davaine,LH/671/9,10584216k
Charles Joseph Bouchard,LH/303/102,12423607b
Charles-Émile Freppel,LH/1034/30,11903563v
Charles Bourseul,LH/335/3,10716943s
Charles Braibant,19800035/1378/59180,12554795r
Charles Henri Marie Flahault,19800035/255/33996,12315094j
Charles Lévêque,LH/1626/30,121750290
Charles Mathieu Isidore Decaen,LH/681/24,13743764h
Louis Finot,19800035/541/61982,12015553t
Claude-Louis Mathieu,LH/1789/9,13005160x
Claude Montal,LH/1914/44,12626542n
Georges Marrane,19800035/1366/57936,11076008z
Joseph Toussaint Reinaud,LH/2288/49,12385075q
Firmin Gémier,LH/2651/2,12219762n
Louis Gallet,LH/1061/7,12110478v
Pierre Jacotin,LH/1339/101,153674294
Alfred Foucher,19800035/542/62096,11903207j
Philippe Dupin,LH/852/54,107082376
Ricciotti Garibaldi,LH/1073/51,12240445p
Ricciotti Garibaldi,LH/1073/52,12240445p
Marie-Joseph Lagrange,19800035/180/23243,121426190
René Doumic,LH/798/66,120776785
Pierre-François Percy,LH/2095/44,120569592
Edmond Doutté,LH/800/9,121823070
Pierre Edmond Alexandre Hédouin,LH/1276/73,12612396v
Hugues Krafft,19800035/187/24381,15364944p
Georges Picot,LH/2149/48,12276129p
Marc Girardin,LH/2438/22,12534840b
Saint-Marc Girardin,LH/2438/22,12534840b
Jacques Normand,LH/2002/68,12738981h
Hector Crémieux,LH/625/50,118981253
Emmanuel Gambardella,19800035/110/13895,12469746s
Louis Massignon,19800035/356/47940,11914994p
François Coli,LH/563/58,119950180
Louis Diémer,LH/774/18,14820160n
Ernest Hébert,LH/1274/88,126123647
Benjamin Valz,LH/2671/5,10336802n
Hyacinthe Klosé,LH/1404/22,13994855f
Eugène Lami,LH/2788/42,14952838p
Eugène Delaplanche,LH/702/19,14792446p
Ernest de Jonquières,LH/939/2,13490182k
Pierre François Marie Auguste Dejean,LH/693/12,13005592n
Louis Vivien de Saint-Martin,LH/2734/63,121809373
"François Alexandre Frédéric, duc de la Rochefoucauld-Liancourt",LH/2361/43,121693554
François XII de La Rochefoucauld,LH/2361/43,121693554
Firmin Didot,LH/773/51,12434445s
Eugène Ernest Hillemacher,LH/1301/2,14969162h
Pierre Jean François Turpin,LH/2639/70,13479666g
Fernand Baldensperger,19800035/116/14609,118899647
Émile Verdet,LH/2686/97,125119901
Jules Émile Planchon,LH/2176/22,12159682n
Louis Figuier,LH/971/44,119027577
Henri Gouraud,LH/1178/39,12032776q
Georges Cochery,LH/557/87,132101848
Charles Louis Cadet de Gassicourt,LH/402/16,12063094k
Charles Méré,19800035/1062/22242,12742053j
Albert Lambert,LH/1455/17,13006351r | 13956193q
Alphonse Huillard-Bréholles,LH/1323/53,12733368f
Marie François Auguste de Caffarelli du Falga,LH/403/39,130041255
François Pouqueville,LH/2213/75,12463141z
Jacques de Baroncelli,LH/118/67,12151622v
Charles Le Goffic,19800035/549/62760,11911636z
Hubert Clerget,LH/552/85,11897058j
Charles Noguès,19800035/1075/23709,119689297
Jean-Joseph Perraud,LH/2105/16,13323173q
Élémir Bourges,LH/329/40,12057188p
Albert-Auguste Cochon de Lapparent,LH/558/59,12511802n
Jules Bois,LH/269/68,131694128
Jean-Baptiste Guimet,LH/1244/26,178139436
Étienne Bobillier,LH/263/9,125602692
Marius Millot,LH/1881/36,14829946g
Victor Chazelas,19800035/63/7742,11052862k
Achille de Rochambeau,LH/1430/6,125109240
Adolphe Borchard,19800035/856/678,140478771
Adolphe Brisson,19800035/278/37285,12406280m
Adolphe Matrot,LH/1794/8,10203440k
Aimable Constant Jéhenne,LH/1364/45,13613482t
Albert Ballu,19800035/241/32020,12994813c
Albert Bayet,19800035/384/51470,121660140
Albert Brasseur,19800035/271/36332,10728832j
Albert Fourié,19800035/150/19103,14974087k
Albert Gayet,19800035/246/32766,119044703
Albert Lange,LH/1468/60,134859865
Albert Lenoir,LH/1588/37,12898117m
Albert Vayssière,19800035/259/34591,10458225q
Albert de Rochas d'Aiglun,LH/2358/57,11922282g
Louis Joseph Alcide Railliet,LH/2260/71,12727367v
Alexandre-Louis Leloir,LH/1572/8,14963317s
Alexandre Israël,19800035/1482/72108,11113358j
Alexis Lemaître,19800035/549/62791,11226277n
Alfred-Nicolas Normand,LH/2002/39,12966820h
Alfred Fourneau,19800035/264/35184,124631053
Alfred Le Roy de Méricourt,LH/1610/35,106316550
Alfred Louis Delattre,19800035/141/17896,12121585v
Alfred Mézières,LH/1858/24,12425466s
Alfred Renaudin,LH/2298/23,12068333d
Almire-René-Jacques Lepelletier,LH/1595/1,135986137
Aloyse Kobès,LH/1404/79,119098994
Alphonse Emmanuel de Moncel de Perrin,19800035/1226/41438,17714040r
Alphonse Meillon,19800035/390/52346,12077820d
Amédée Maisonobe,19800035/28/3532,12384198d
Amédée de Césena,LH/1102/68,10585853p
Anatole Leduc,LH/1544/43,106877087
André-Joseph Allar,LH/21/9,14846454d
André Broca,19800035/450/60177,10845354b
André Castex,19800035/61/7495,12185798z
André Galle,LH/1060/20,149541445
André Hallays,LH/1259/46,12563190b
André Japy,19800035/1225/41273,16649942f
André Martel,19800035/651/75087,12134792m
André Vigneau,19800035/928/8205,121049122 | 14967858q
Antoine Baucheron de Boissoudy,LH/137/75,16740672j
Antoine Pol,19800035/1085/24708,128413837 | 138985782
Armand Charlet,19800035/1312/51754,133236377
Armand Lunel,19800035/1439/66656,11913633d
Arthur Giry,LH/1152/75,12318025f
Arthur Stoclet,19800035/251/33487,10609993p
Arthur de Lort de Sérignan,LH/1661/10,127929145
Achille Delesse,LH/710/27,15316371c
Georges Ohnet,LH/2012/44,12108697d
Henri Edouard Claudel,19800035/155/19732,16161815w
Ferdinand Barrot,LH/124/59,15574988v
Jacques Camou,LH/414/62,16237457q
Félix Gaudin,LH/1089/48,10899318g
Georges Chaudron,19800035/1400/61792,118963700
Georges de Porto-Riche,19800035/169/21739,121748545
Jean-Paul Sinibaldi,LH/2527/12,14970033p
Alphonse Nudant,19800035/34/4386,10682741v
Gustave Jacquet,LH/1343/80,148008307
Joseph Gratry,LH/1193/1,12220455k
Henri Hauser,19800035/740/84067,119070205
Alexandre Piédagnel,LH/2151/41,145734701
Roger Ducos,LH/2367/57,129578347
Jean Camille Formigé,LH/1000/36,149740449
Jean Danjou,LH/656/7,120397485
Jean Nicolas Demarquay,LH/724/87,10640059p
Joseph Garnier,LH/1077/76,120125909
Jules Andrade,LH/33/34,130775859
Jules Gervais-Courtellemont,LH/1125/63,12196865q
Jules Worms,LH/2762/37,11929403k
Julien Pierre Anne Lalande,LH/1448/69,16937775p
Sylvain Charles Valée,LH/2662/92,10728504g
Pierre-Victorien Lottin,LH/1662/30,119134106
Lazare Sainéan,19800035/273/36528,12291927d
Antonin Carlès,LH/428/41,14971180q
Maxime Maufra,19800035/270/36147,120473223
Louis Isidore Duperrey,LH/851/31,153183904
Émilien Frossard,LH/1042/66,149742812
Robert Planquette,LH/2177/9,13898543d
Henri Rivière,LH/2341/42,12443175v
Raymond Carré de Malberg,19800035/277/37052,123735266
Antoine Maurice Apollinaire d'Argout,LH/48/61,107215201
Émile Campardon,LH/415/20,118949616
Jean-Girard Lacuée,LH/1430/23,12510864z
François Tamisier,LH/2566/15,107267632
Louis Charles Trabut,19800035/261/34785,13005890s
Paul Richaud,19800035/925/7923,13091625p
Francis de Croisset,LH/2752/56,118981958
Paul Auguste Sollier,LH/2533/9,12462537k
Emmanuel Pontremoli,19800035/227/29948,124241463
Philippe Lauer,19800035/89/11084,11911265f
Pierre Edmond Teisserenc de Bort,LH/2574/5,13012735v
Pierre Carle Édouard Potain,LH/2205/9,106769179
Jean Joseph Ange d'Hautpoul,LH/770/16,137483607
Émile Nourry,19800035/1464/69283,119234212 | 17727992d
Robert Louis,19800035/650/74966,119134613
Jacques Natanson,19800035/1337/54925,12175636x
Louis Courajod,LH/609/27,12291877p
Antonin Mercié,LH/1831/10,15069997z
Claude-Juste-Alexandre Legrand,LH/1560/45,16759368v
Nicolas-Prosper Levasseur,LH/1624/81,14782570m
Paul Regnaud,LH/2284/49,12442361g
Lucien Capet,LH/421/41,131705299
Émile Moselly,19800035/1330/54131,11916971h
Louis Marie Quicherat,LH/2249/7,12171059z
Joseph-Désiré Court,LH/613/47,14952636f
Rachilde,19800035/0085/10665,11920960m
Edmond Du Sommerard,LH/2533/66,126649485
Clémence Royer,LH/2419/17,121690857
Eugène Cosserat,19800035/739/83890,12574036q
Alfred Couttet,19800035/1251/44464,11000212v
Auguste Gérard,LH/1117/47,12463222z
Jean Nicaise Gros,LH/1207/5,12923696n
Édouard Laferrière,LH/1432/30,12127195h
Georges de Manteyer,19800035/1244/43608,119143256
Pierre Étienne Cuinier,LH/639/22,153230177
Justin Bonaventure Morard de Galles,LH/1925/26,13487315g
Guillaume-Ferdinand Teissier,LH/2574/19,107161369
Henri Focillon,19800035/807/91691,11902990m
Pierre-Dominique Bazaine,LH/150/16,10725404g
Joseph-Michel Montgolfier,LH/1919/61,11963906c
Émile Hilaire Amagat,LH/27/60,131764551
Henri Perrier de La Bâthie,19800035/1245/43666,123274098
Joseph Marie Henry Alfred Perrier de la Bâthie,19800035/1245/43666,123274098
Émile Zola,LH/2769/59,119297200
Sarah Bernhardt,LH/2457/62,11891564d
Alexander von Humboldt,LH/1326/47,119080343
Paul Doumer,C/0/15,12137282n
Maryse Bastié,19800035/2/134,139727647
Marcellin Berthelot,LH/209/76,12276589n
Jean-Martin Charcot,LH/488/10,12424494s
Jean Auguste Dominique Ingres,LH/1335/27,12015522j
Jean-Auguste-Dominique Ingres,LH/1335/27,12015522j
Georges Trombert,LH/2654/33,10748011s
Henry Murger,LH/1968/50,119172667
Eugène Delacroix,LH/695/18,118991616
Auguste Renoir,LH/2300/69,12529742r
Pierre-Auguste Renoir,LH/2300/69,12529742r
Pierre-Simon de Laplace,LH/1477/83,119110516
Jean-Baptiste Antoine Marcelin Marbot,LH/1723/47,131880110
Jacques Peirotes,19800035/1373/58673,13174268b
Jacques Peirotes,19800035/1373/58673,13174268b
Jacques-Louis David,LH/673/3,125243831
Jean Lobstein,LH/1648/38,10729353c
Paul Sabatier,19800035/169/21742,12560178r
Jean-Xavier Lefèvre,LH/1549/67,139293565
Achille Baraguey d'Hilliers,LH/103/37,119664010
Joseph-Frédéric-Benoît Charrière,LH/496/58,10686160f
Édouard-Henri Avril,LH/82/7,12126413x
Jules Gilliéron,19800035/255/34043,12316631j
René Bazin,LH/151/54,118907354
Valery Larbaud,19800035/172/22143,11911085h
Paul Georges Dieulafoy,LH/776/39,12567400b
Nicolas Oudinot,C/0/43,133306351
Nicolas-Charles Oudinot,C/0/43,133306351
François Guizot,LH/1249/24,12305825q
Alfred Nicolas Rambaud,LH/2262/68,12429540b
Émile Loubet,C/0/9,124846352
Mary Cassatt,LH/2550/9,119575499
Raymond Sabouraud,19800035/565/64356,13084621t
Maurice-Paul-Emmanuel Sarrail,LH/2460/35,110852341
عبد القادر الجزائري,LH/2/26,11887957g
Charles Gounod,LH/1177/67,138946384
Alphonse Karr,LH/1394/42,11909455d
Francis Poulenc,19800035/399/53418,13898628s
Jules Massenet,LH/1778/38,13897189c
Jean Janvier,19800035/224/29499,136132541 | 137379922
Jules Lemaître,LH/1575/63,12032643g
Paul Bourget,LH/329/8,11893464m
James Whistler,LH/2755/18,121810413
Jean Pons Guillaume Viennet,LH/2698/61,124598832
Jean-Pons-Guillaume Viennet,LH/2698/61,124598832
Gaspard Monge,C/0/66,121412336
Jean-Léon Gérôme,LH/1124/65,12014496k
Joseph Liouville,LH/1645/8,12550158x
Paul Dukas,19800035/167/21510,138934866
Louis Étienne Watelet,LH/2748/54,14959353w
Alphonse Daudet,LH/666/97,118987232
Louis Renault,LH/2299/33,12327654n
Nina Ricci,19800035/1024/18177,123061449
Cécile Chaminade,19800035/136/17159,147860408
Gaston Planté,LH/2177/32,122757758
Aogust Brizeug,LH/369/31,11894087d
Auguste Brizeux,LH/369/31,11894087d
Vincent Isola,19800035/340/45768,146575972
Henri Padé,19800035/35/4407,123341642
Michel-Eugène Chevreul,LH/526/27,121099724
Édouard Stephan,LH/2549/39,13484449b
Édouard Schuré,LH/2487/47,119241622
Émile Auguste Léon Hourst,19800035/444/59415,124368879
Émile-Louis Burnouf,LH/395/92,12056444n
Émile Daeschner,LH/645/24,16196769c
Édouard Thouvenel,LH/2603/30,15065152t
Henri Menier,LH/1826/2,10281272t
Émile Gilioli,19800035/1472/70459,119454391
Émile Jungfleisch,LH/1391/20,134816375
Émile Legouis,19800035/549/62762,12291556w
Émile Mathieu,LH/1789/22,12550238k
Émile Roux,LH/2413/22,12011715v
Georges Maspero,19800035/1423/64649,12454307c
Camille Flammarion,LH/980/20,11902882q
Étienne-Jacques-Joseph Macdonald,C/0/40,14568581z
Pierre Weiss,LH/2752/19,122895705
Antoine Laurent Nugue,LH/2008/2,125299669
Édouard Jannettaz,LH/1352/92,134788047
Georges-Ernest-Marie Foussereau,LH/1020/28,104992322
Paul Balagny,19800035/55/6642,111677904
Étienne Escat,19800035/728/82800,104684720
Gabrjel Boissy,19800035/844/96578,130021428
Henri Voitellier,LH/2737/38,104590273
Aimé-Ernest Motsch,LH/1946/41,124826912
Antoine Taudou,LH/2641/25,14996298p
Jacques-Eugène Feyen,LH/968/32,14973822z
Adolphe Vuitry,LH/2742/43,131764671
Adolphe de Chesnel,LH/520/33,15046602g
Adrien Charles Salanson,LH/2444/66,106892686
Adrien Demont,LH/728/9,130085733
Albert Delatour,LH/704/50,103916055
Alcide Taillefert,LH/2563/65,13212219k
Alexandre Desgoffe,LH/748/32,125516189 | 14972822q
Alexis-François Aulagnier,LH/75/80,10626840h
Alexis-Marie de Rochon,LH/2363/16,129983745
Alexis Chassang,LH/500/92,11896284d
Alphonse Denis,LH/731/19,118995781
Alphonse Sagebien,LH/2432/13,10484034s
Ambroise Challe,LH/470/46,11895909b
Anatole Bailly,LH/94/14,12490042x
André Brouillet,LH/374/51,12882017p | 15952871n
André Sordet,LH/2535/19,107068481
Anselme François Fleury,LH/983/36,103517435
Antoine-Marie Demante,LH/724/37,165741534
Antoine Charma,LH/492/31,130091330
Antoine Claire Thibaudeau,LH/2587/81,12530023k
Antoine Dumesnil,LH/844/69,120315627
Antoine Georges François de Chabaud-Latour,LH/464/21,10728871f
Auguste Arnauné,LH/54/49,134803075
Auguste Billiard,LH/240/64,104272684
Auguste Caristie,LH/427/85,14085130s
Auguste Clément Gérôme,LH/1124/62,10681186x
Auguste Julien Bigarré,LH/236/44,144122010
Auguste Lefèvre,LH/1548/75,17707186v
Auguste Leroux,19800035/25/3216,13191549k
Auguste Marie Gicquel des Touches,LH/1130/85,13530754x
Auguste de Gramont,LH/1185/25,16754801r
Augustin Beaud,19800035/628/72713,109907475
Augustin Pouyer-Quertier,LH/2217/11,10683135h
Aurel,19800035/1464/69334,113499369
Barthélémy Brunon,LH/385/6,104643466
Benjamin Nadault de Buffon,LH/1973/1,10643955h
Boniface de Castellane,LH/446/13,15845458p
Camille Clément de La Roncière-Le Noury,LH/549/31,137438325
Camille Flers,LH/981/67,14952708g
Camille Krantz,LH/1408/23,132109478
Camille Papin Tissot,LH/2610/37,13077607s
Camille Soula,19800035/397/53214,16247189q
Camille de La Croix,LH/1428/2,130060439
Charles-Alexis Alexandre,LH/17/73,125620330
Charles-Auguste Salmon,LH/2449/29,13003211h
Charles-Edgar de Mornay,LH/1942/38,12319789v
Charles-Jean Hallo,19800035/1010/16712,149586733
Charles-Marie Livon,LH/1647/9,10476523s
Charles Bémont,19800035/194/25386,11891128f
Charles Corvisart,19800035/10/1198,11141099f
Charles Dupuis,19800035/462/61805,12460073k
Charles Géniaux,LH/1110/7,121115969
Charles Laffitte,LH/1433/27,16960986t
Charles Norry,LH/2003/31,14952950t
Charles Petit-Dutaillis,19800035/1214/40161,124581142
Charles Portal,19800035/570/64867,11920346d
Charles Rabot,19800035/186/24182,11920948r
Charles d'Houdetot,LH/1310/73,17839013n
Charles de Ribbe,LH/2313/55,11921782m
Charles Émile de Laplace,LH/1477/69,10724153m
Claude-Henri Plantier,LH/2177/46,129917737
Claude-Joseph Gignoux,19800035/686/78552,124342515
Charles-Auguste Yvart,LH/2764/93,106795126
Charles Antoine Chasset,LH/500/68,10658861k
Charles Cassal,LH/442/19,13373938f
Charles Cesbron-Lavau,LH/462/58,105652330
Charles Corta,LH/596/3,11252338p
Charles Emile Troisier,LH/2632/24,105155464
Charles Vélain,LH/2682/16,12881989s
Charles d'Audiffret,LH/71/57,12511893s
Charles de Veauce,LH/402/34,121367269
Claude-Nicolas Vaudrey,LH/2679/40,15435890c
Claude Antoine de Bésiade,LH/221/50,14956735b
Claude Denis Auguste Valette,LH/2664/31,16734709t
Claude Joseph de Cherrier,LH/519/44,12438640k
Claudius Regaud,LH/2277/42,11955591m
Émile Guépratte,LH/1217/72,120912661
Émile Paul Amable Guépratte,LH/1217/72,120912661
Paul Durrieu,LH/875/55,127207678
César Daly,LH/650/13,118985047
David-Paul Drach,LH/801/52,12602795d
Denis Bergeret,LH/189/36,14969508t
Dominique-Augustin Dufêtre,LH/831/38,10725657m
Durand Borel de Brétizel,LH/296/43,125348332
Edgar Boutry,19800035/167/21419,14970412t
Edgar Ney,LH/1984/25,16237622m
Edgard Hérouard,19800035/203/26547,12395832v
Edme Aimé Lucotte,LH/1674/31,10571433s
Edme Piot,LH/2170/18,13015029q
Edmond Desca,19800035/245/32584,12144293s
Edmond Guillaume,LH/1234/4,104369263
Edmond Poupé,19800035/388/51982,125224814
Emmanuel Rodocanachi,LH/2364/59,121423880
Ernest Ange Duez,LH/830/7,13621797d
Ernest Désiré Glasson,LH/1155/31,122987146
Esther Lekain,19800035/0339/45626,13896524n
Eugène Apert,LH/43/81,12490694t
Eugène François Germain Vuillemot,LH/2741/75,11333615v
Eugène Ledrain,LH/1543/34,12791525g
Eugène Lefèvre-Pontalis,19800035/549/62747,12163951z
Eugène Maissin,LH/1699/34,10363154v
Eugène Millet,LH/1878/9,12746952n
Eugène Ney,LH/1984/14,105078912
Eugène Regnault,LH/2277/55,107127825
Eugène Rimmel,LH/2332/66,12191162j
Eugène Rouher,LH/2396/23,11969573v
Ferdinand Barbedienne,LH/107/30,14968858z
Ferdinand Hérold,LH/1294/19,104389497
Fernand Clerc,19800035/133/16833,16165256s
Fernand Laudet,19800035/232/30765,13603497n
Francis de Miomandre,19800035/127/16018,119162393
Francisque Bouillier,LH/313/59,12350423r
Francisque Delmas,LH/715/57,15081504h
Francisque Gay,19800035/405/54256,120067255
Francisque Poulbot,19800035/447/59849,11920450x
François-Henry Laperrine,LH/1476/4,12523163m
François-Joseph Heim,LH/1277/64,149768727
François-Pascal Delattre,LH/704/101,12522645t
François Bourdon,LH/325/25,14646480m
Marius Berliet,19800035/723/82209,12551292m
François Joseph de Riquet de Caraman,LH/2337/30,15017002f
François-Joseph-Philippe de Riquet,LH/2337/30,15017002f
André Danjon,19800035/867/1880,122911721
Clément Ader,LH/8/14,121004310
Vincent d'Indy,LH/1335/6,138954693
Eugène Scribe,LH/2490/10,11924226g
Pierre Savorgnan de Brazza,LH/2472/49,11923861d
Pierre Savorgnan de Brazza,LH/354/63,11923861d
Émile Félix Fleury,LH/983/49,12132676m
Alfred Dehodencq,LH/691/69,14474084p
Pierre François Eugène Giraud,LH/1149/49,14800717r | 14974787h
Jules Baillarger,LH/91/56,12315467r
Gustave de Beaumont,LH/156/60,12016285v
Armand-Charles Guilleminot,LH/1238/23,14412609v
Thomas Couture,LH/622/23,13013950j | 14792920c
Régis de Chantelauze,LH/481/30,12439912d
Albert Delpit,LH/720/30,127586159
Georges Legrain,19800035/549/62763,104034162
Abraham Schrameck,19800035/1395/61202,12498832r
Jean-Baptiste Bouchotte,LH/307/65,12510891v
Sacha Guitry,19800035/157/20076,119065193
Jean-Baptiste Bessières,LH/224/11,12526333z
Antoine Meillet,19800035/735/83452,11915465z
Bon-Adrien Jeannot de Moncey,LH/1353/21,12004223m
Auguste Bravais,LH/354/15,12459894q
Jean Moréas,LH/2044/67,11916749s
Aristide Cavaillé-Coll,LH/454/7,121407518 | 14790297j
Louis Franchet d'Espèrey,LH/1024/49,127538536
Adolphe Danhauser,LH/654/56,14799035m
Adolphe Charles Le Flô,LH/1551/35,12350562x
Adolphe Le Flô,LH/1551/35,12350562x
David Edward Hughes,LH/1320/11,166065972
Jacques Copeau,19800035/846/96846,11897602k
Claude-Emmanuel de Pastoret,LH/2064/29,12522931z
Emmanuel de Pastoret,LH/2064/29,12522931z
Stanislas Aignan Julien,LH/1388/2,12207839q
Stanislas Julien,LH/1388/2,12207839q
Jules Duprato,LH/858/65,14822228x
Ferdinand Walsin Esterhazy,19800035/212/27793,121392557
Jean-Jacques Ampère,LH/32/2,11888698g
James Tissot,LH/2610/51,11943882s
Henri Dallier,19800035/254/33915,13923319h
Georges Marçais,19800035/282/37855,119143883
Aimé Millet,LH/1877/44,148014969
Jules Lefebvre,LH/1546/82,149804679
Napoléon Joseph Charles Paul Bonaparte,LH/277/60,14539256j
