nom,leonoreid,datenaissance,ville,coordinatelieuN,datedeces,villedc,coordinatelieudc
Charles-Louis Pinson de Ménerville,LH/2168/29,1808-04-08T00:00:00Z,Paris,Point(2.351388888 48.856944444),1876-09-01T00:00:00Z,Paris,Point(2.351388888 48.856944444)
Charles-Marie-Augustin de Goyon,LH/1183/83,1803-09-13T00:00:00Z,Nantes,Point(-1.553888888 47.217222222),1870-05-17T00:00:00Z,Paris,Point(2.351388888 48.856944444)
Charles-Marie Gariel,LH/1073/67,1841-08-09T00:00:00Z,Paris,Point(2.351388888 48.856944444),1924-01-01T00:00:00Z,Paris,Point(2.351388888 48.856944444)
Charles-Nicolas Gachotte,LH/1050/18,1810-03-27T00:00:00Z,Saint-Dié-des-Vosges,Point(6.949166666 48.284166666),1876-03-27T00:00:00Z,Paris,Point(2.351388888 48.856944444)
Charles-Paul-Eugène Poriquet,LH/2201/50,1816-07-30T00:00:00Z,Paris,Point(2.351388888 48.856944444),1910-03-09T00:00:00Z,Paris,Point(2.351388888 48.856944444)
Charles-Philippe de Chennevières-Pointel,LH/517/72,1820-07-25T00:00:00Z,Falaise,Point(-0.1975 48.897222222),1899-04-01T00:00:00Z,Paris,Point(2.351388888 48.856944444)
Charles-Philippe de Chennevières-Pointel,LH/517/72,1820-07-23T00:00:00Z,Falaise,Point(-0.1975 48.897222222),1899-04-01T00:00:00Z,Paris,Point(2.351388888 48.856944444)
Charles Marie Philippe de Kerhallet,LH/2142/3,1809-09-17T00:00:00Z,Rennes,Point(-1.680833333 48.114166666),1863-02-16T00:00:00Z,Paris,Point(2.351388888 48.856944444)
Charles-Éléonore Dufriche-Desgenettes,LH/836/47,1778-08-10T00:00:00Z,Alençon,Point(0.091944444 48.429722222),1860-04-25T00:00:00Z,Paris,Point(2.351388888 48.856944444)
Auguste-Frédéric-Louis Viesse de Marmont,LH/2698/97,1774-07-20T00:00:00Z,Châtillon-sur-Seine,Point(4.574166666 47.858333333),1852-03-22T00:00:00Z,Venise,Point(12.331944444 45.439722222)
Andreas Räß,LH/2257/25,1794-04-06T00:00:00Z,Sigolsheim,Point(7.300833333 48.134444444),1887-11-17T00:00:00Z,Strasbourg,Point(7.752222222 48.573333333)
Jean-Marie Valhubert,LH/2664/73,1764-10-22T00:00:00Z,Avranches,Point(-1.356944444 48.684444444),1805-12-03T00:00:00Z,bataille d'Austerlitz,Point(16.766666666 49.133333333)
Cornelis Rudolphus Theodorus Krayenhoff,LH/1408/44,1759-06-02T00:00:00Z,Nimègue,Point(5.8625 51.8475),1840-11-24T00:00:00Z,Nimègue,Point(5.8625 51.8475)
Pierre Savorgnan de Brazza,LH/2472/49,1852-01-26T00:00:00Z,Rome,Point(12.482777777 41.893055555),1905-09-14T00:00:00Z,Dakar,Point(-17.457222222 14.731944444)
Pierre Savorgnan de Brazza,LH/354/63,1852-01-26T00:00:00Z,Rome,Point(12.482777777 41.893055555),1905-09-14T00:00:00Z,Dakar,Point(-17.457222222 14.731944444)
Maine de Biran,LH/1696/16,1766-11-29T00:00:00Z,Bergerac,Point(0.481944444 44.851111111),1824-07-20T00:00:00Z,Paris,Point(2.351388888 48.856944444)
Edme-Jean Baptiste Bouillon-Lagrange,LH/2777/60,1764-07-12T00:00:00Z,Paris,Point(2.351388888 48.856944444),1844-08-23T00:00:00Z,Paris,Point(2.351388888 48.856944444)
Georges Marçais,19800035/282/37855,1876-03-11T00:00:00Z,Rennes,Point(-1.680833333 48.114166666),1962-05-20T00:00:00Z,Paris,Point(2.351388888 48.856944444)
Armand Dufrénoy,LH/2127/18,1792-09-05T00:00:00Z,Sevran,Point(2.522777777 48.941388888),1857-03-20T00:00:00Z,Paris,Point(2.351388888 48.856944444)
Adolphe Alphand,LH/25/63,1817-10-26T00:00:00Z,Grenoble,Point(5.726388888 45.186944444),1891-12-06T00:00:00Z,Paris,Point(2.351388888 48.856944444)
Agathon Jean François Fain,LH/925/44,1778-01-11T00:00:00Z,Paris,Point(2.351388888 48.856944444),1837-09-16T00:00:00Z,Paris,Point(2.351388888 48.856944444)
Agathon Léonard,LH/2668/75,1841-08-28T00:00:00Z,Lille,Point(3.0575 50.631944444),1923-11-12T00:00:00Z,Paris,Point(2.351388888 48.856944444)
Aimé Millet,LH/1877/44,1819-09-28T00:00:00Z,Paris,Point(2.351388888 48.856944444),1891-01-14T00:00:00Z,Paris,Point(2.351388888 48.856944444)
Théodule Charles Devéria,LH/765/65,1831-07-01T00:00:00Z,Paris,Point(2.351388888 48.856944444),1871-01-25T00:00:00Z,Paris,Point(2.351388888 48.856944444)
Albert Besnard,LH/222/36,1849-06-02T00:00:00Z,7e arrondissement de Paris,Point(2.312777777 48.859166666),1934-12-04T00:00:00Z,Paris,Point(2.351388888 48.856944444)
Edgard de Trentinian,LH/2653/39,1851-08-25T00:00:00Z,Brest,Point(-4.486944444 48.39),1942-05-24T00:00:00Z,Paris,Point(2.351388888 48.856944444)
Antoine Dubois,LH/811/20,1756-06-19T00:00:00Z,Gramat,Point(1.725 44.778888888),1837-03-30T00:00:00Z,Paris,Point(2.351388888 48.856944444)
Maximilien Marie,LH/1740/22,1819-01-01T00:00:00Z,Paris,Point(2.351388888 48.856944444),1891-04-27T00:00:00Z,Paris,Point(2.351388888 48.856944444)
Jean-Baptiste Rondelet,LH/2378/80,1743-06-04T00:00:00Z,Lyon,Point(4.841388888 45.758888888),1829-09-25T00:00:00Z,Paris,Point(2.351388888 48.856944444)
Reynaldo Hahn,LH/1258/19,1874-08-09T00:00:00Z,Caracas,Point(-66.933333333 10.5),1947-01-28T00:00:00Z,Paris,Point(2.351388888 48.856944444)
Auguste Nélaton,LH/1980/60,1807-06-18T00:00:00Z,Paris,Point(2.351388888 48.856944444),1873-08-14T00:00:00Z,Paris,Point(2.351388888 48.856944444)
Auguste Nélaton,LH/1980/60,1807-06-18T00:00:00Z,Paris,Point(2.351388888 48.856944444),1873-09-21T00:00:00Z,Paris,Point(2.351388888 48.856944444)
Auguste Nélaton,LH/1980/60,1807-06-17T00:00:00Z,Paris,Point(2.351388888 48.856944444),1873-08-14T00:00:00Z,Paris,Point(2.351388888 48.856944444)
Auguste Nélaton,LH/1980/60,1807-06-17T00:00:00Z,Paris,Point(2.351388888 48.856944444),1873-09-21T00:00:00Z,Paris,Point(2.351388888 48.856944444)
Anne-Louis Girodet,LH/1151/52,1767-01-29T00:00:00Z,Montargis,Point(2.7325 47.996944444),1824-12-08T00:00:00Z,Paris,Point(2.351388888 48.856944444)
François Louis Paul Gervais,LH/1125/50,1816-09-26T00:00:00Z,Paris,Point(2.351388888 48.856944444),1879-02-10T00:00:00Z,Paris,Point(2.351388888 48.856944444)
"Albert, 4e duc de Broglie",LH/371/23,1821-06-13T00:00:00Z,Paris,Point(2.351388888 48.856944444),1901-01-01T00:00:00Z,Paris,Point(2.351388888 48.856944444)
"Albert, 4e duc de Broglie",LH/371/23,1821-06-13T00:00:00Z,Paris,Point(2.351388888 48.856944444),1901-01-19T00:00:00Z,Paris,Point(2.351388888 48.856944444)
"Albert, 4e duc de Broglie",LH/371/23,1821-01-01T00:00:00Z,Paris,Point(2.351388888 48.856944444),1901-01-01T00:00:00Z,Paris,Point(2.351388888 48.856944444)
"Albert, 4e duc de Broglie",LH/371/23,1821-01-01T00:00:00Z,Paris,Point(2.351388888 48.856944444),1901-01-19T00:00:00Z,Paris,Point(2.351388888 48.856944444)
Jacques-Victor-Albert de Broglie,LH/371/23,1821-06-13T00:00:00Z,Paris,Point(2.351388888 48.856944444),1901-01-01T00:00:00Z,Paris,Point(2.351388888 48.856944444)
Jacques-Victor-Albert de Broglie,LH/371/23,1821-06-13T00:00:00Z,Paris,Point(2.351388888 48.856944444),1901-01-19T00:00:00Z,Paris,Point(2.351388888 48.856944444)
Jacques-Victor-Albert de Broglie,LH/371/23,1821-01-01T00:00:00Z,Paris,Point(2.351388888 48.856944444),1901-01-01T00:00:00Z,Paris,Point(2.351388888 48.856944444)
Jacques-Victor-Albert de Broglie,LH/371/23,1821-01-01T00:00:00Z,Paris,Point(2.351388888 48.856944444),1901-01-19T00:00:00Z,Paris,Point(2.351388888 48.856944444)
Eugène Manuel,LH/1721/19,1823-07-13T00:00:00Z,Paris,Point(2.351388888 48.856944444),1901-06-01T00:00:00Z,Paris,Point(2.351388888 48.856944444)
Henry Darcy,LH/659/25,1803-06-10T00:00:00Z,Dijon,Point(5.041944444 47.323055555),1858-01-03T00:00:00Z,Paris,Point(2.351388888 48.856944444)
Marthe Brandès,19800035/455/60893,1862-01-31T00:00:00Z,10e arrondissement de Paris,Point(2.357852777 48.875508333),1930-04-26T00:00:00Z,Paris,Point(2.351388888 48.856944444)
Louis Paul Cailletet,LH/407/9,1832-09-21T00:00:00Z,Châtillon-sur-Seine,Point(4.574166666 47.858333333),1913-01-05T00:00:00Z,Paris,Point(2.351388888 48.856944444)
Berthe Weill,LH/2752/2,1865-11-20T00:00:00Z,1er arrondissement de Paris,Point(2.342059 48.859947),1951-04-17T00:00:00Z,Paris,Point(2.351388888 48.856944444)
Paul Pierre Lévy,19800035/1092/25524,1886-09-15T00:00:00Z,Paris,Point(2.351388888 48.856944444),1971-12-15T00:00:00Z,Paris,Point(2.351388888 48.856944444)
Adolphe-Gustave Chouquet,LH/535/29,1819-04-16T00:00:00Z,Le Havre,Point(0.108055555 49.494166666),1886-01-30T00:00:00Z,Paris,Point(2.351388888 48.856944444)
Auguste André Thomas Cahours,LH/404/67,1813-10-02T00:00:00Z,Paris,Point(2.351388888 48.856944444),1891-03-17T00:00:00Z,Paris,Point(2.351388888 48.856944444)
Jeanne Paquin,19800035/1481/72058,1869-06-23T00:00:00Z,L'Île-Saint-Denis,Point(2.339722222 48.935833333),1936-01-01T00:00:00Z,Paris,Point(2.351388888 48.856944444)
Alexandre Brongniart,LH/371/73,1770-02-05T00:00:00Z,Paris,Point(2.351388888 48.856944444),1847-10-07T00:00:00Z,Paris,Point(2.351388888 48.856944444)
Frédéric Nicolas Duvernoy,LH/886/13,1765-10-16T00:00:00Z,Montbéliard,Point(6.798333333 47.509722222),1838-07-19T00:00:00Z,Paris,Point(2.351388888 48.856944444)
Alphonse Toussenel,LH/2622/1,1803-03-17T00:00:00Z,Montreuil-Bellay,Point(-0.153611111 47.131388888),1885-04-30T00:00:00Z,Paris,Point(2.351388888 48.856944444)
Théophile-Jules Pelouze,LH/2089/14,1807-02-26T00:00:00Z,Valognes,Point(-1.469166666 49.509166666),1867-05-31T00:00:00Z,Paris,Point(2.351388888 48.856944444)
Francis Thomé,LH/2601/39,1850-10-18T00:00:00Z,Port-Louis,Point(57.5 -20.166666666),1909-11-16T00:00:00Z,Paris,Point(2.351388888 48.856944444)
Emmanuel de Margerie,19800035/19/2411,1862-11-11T00:00:00Z,Paris,Point(2.351388888 48.856944444),1953-12-21T00:00:00Z,Paris,Point(2.351388888 48.856944444)
Léon Carvalho,LH/439/2,1825-01-18T00:00:00Z,Port-Louis,Point(57.5 -20.166666666),1897-12-29T00:00:00Z,Paris,Point(2.351388888 48.856944444)
Théophile Homolle,LH/1307/39,1848-12-19T00:00:00Z,Paris,Point(2.351388888 48.856944444),1925-06-13T00:00:00Z,Paris,Point(2.351388888 48.856944444)
"Antoine François, comte de Fourcroy",LH/1011/64,1755-06-15T00:00:00Z,Paris,Point(2.351388888 48.856944444),1809-12-16T00:00:00Z,Paris,Point(2.351388888 48.856944444)
Antoine-François Fourcroy,LH/1011/64,1755-06-15T00:00:00Z,Paris,Point(2.351388888 48.856944444),1809-12-16T00:00:00Z,Paris,Point(2.351388888 48.856944444)
Franc-Nohain,19800035/1262/45505,1872-10-25T00:00:00Z,Corbigny,Point(3.683611111 47.256666666),1934-10-18T00:00:00Z,Paris,Point(2.351388888 48.856944444)
Marcel Aubert,19800035/372/49942,1884-04-09T00:00:00Z,10e arrondissement de Paris,Point(2.357852777 48.875508333),1962-12-28T00:00:00Z,Paris,Point(2.351388888 48.856944444)
Gustave Samazeuilh,19800035/897/4966,1877-06-02T00:00:00Z,Bordeaux,Point(-0.579444444 44.837777777),1967-08-04T00:00:00Z,Paris,Point(2.351388888 48.856944444)
Jacques Rouché,19800035/189/24648,1862-11-16T00:00:00Z,Lunel,Point(4.135277777 43.676944444),1957-11-09T00:00:00Z,Paris,Point(2.351388888 48.856944444)
Étienne Aymonier,LH/83/41,1844-02-26T00:00:00Z,Le Châtelard,Point(6.137222222 45.685277777),1929-01-21T00:00:00Z,Paris,Point(2.351388888 48.856944444)
René Lalique,19800035/290/38904,1860-04-06T00:00:00Z,Ay,Point(4.003611111 49.055277777),1945-05-01T00:00:00Z,Paris,Point(2.351388888 48.856944444)
Alfred de Glehn,LH/1155/53,1848-01-01T00:00:00Z,borough londonien de Lewisham,Point(-0.020277777 51.445277777),1936-06-08T00:00:00Z,Mulhouse,Point(7.339166666 47.748611111)
Alexandre Guilmant,LH/1243/58,1837-03-12T00:00:00Z,Boulogne-sur-Mer,Point(1.613888888 50.725555555),1911-03-29T00:00:00Z,Meudon,Point(2.240277777 48.8075)
Louis-Gabriel Suchet,LH/2556/43,1770-03-02T00:00:00Z,Lyon,Point(4.841388888 45.758888888),1826-01-03T00:00:00Z,Marseille,Point(5.376388888 43.296666666)
Baptiste-Marie Jacob,LH/1338/40,1858-06-07T00:00:00Z,Paimpol,Point(-3.046388888 48.777777777),1909-04-06T00:00:00Z,18e arrondissement de Paris,Point(2.344447222 48.89215)
Charles-Émile Camoin de Vence,LH/414/52,1830-03-30T00:00:00Z,Bastia,Point(9.449444444 42.7),1918-11-26T00:00:00Z,8e arrondissement de Paris,Point(2.311111111 48.874166666)
Clément Ader,LH/8/14,1841-04-02T00:00:00Z,Muret,Point(1.325833333 43.460277777),1925-03-05T00:00:00Z,Toulouse,Point(1.443888888 43.604444444)
Marcel-Frédéric Lubin-Lebrère,19800035/1133/29753,1891-07-21T00:00:00Z,Agen,Point(0.618611111 44.203055555),1972-07-07T00:00:00Z,Toulouse,Point(1.443888888 43.604444444)
Henri Abraham,19800035/51/6235,1868-07-12T00:00:00Z,1er arrondissement de Paris,Point(2.342059 48.859947),1943-12-22T00:00:00Z,Auschwitz,Point(19.2041 50.0262)
Georges Legrain,19800035/549/62763,1865-10-04T00:00:00Z,14e arrondissement de Paris,Point(2.326888888 48.833022222),1917-08-22T00:00:00Z,Louxor,Point(32.642222222 25.696944444)
Camille Groult,LH/1211/2,1832-06-30T00:00:00Z,Paris,Point(2.351388888 48.856944444),1908-01-13T00:00:00Z,Paris,Point(2.351388888 48.856944444)
Camille Guy,LH/1250/37,1860-05-18T00:00:00Z,Saint-Vit,Point(5.810833333 47.181388888),1929-05-22T00:00:00Z,Paris,Point(2.351388888 48.856944444)
Camille Guyot de Villeneuve,19800035/548/62691,1862-08-09T00:00:00Z,château de Lagrange-Montalivet,Point(2.9003 47.2722),1939-07-06T00:00:00Z,Paris,Point(2.351388888 48.856944444)
Camille Krantz,LH/1408/23,1848-08-24T00:00:00Z,Vosges,Point(6.416666666 48.166666666),1924-04-30T00:00:00Z,Paris,Point(2.351388888 48.856944444)
Camille Lian,19800035/995/15167,1882-01-04T00:00:00Z,Treigny,Point(3.184166666 47.550833333),1969-04-08T00:00:00Z,Paris,Point(2.351388888 48.856944444)
Camille Lefèvre,19800035/191/24936,1853-12-31T00:00:00Z,Issy-les-Moulineaux,Point(2.269166666 48.823055555),1933-01-01T00:00:00Z,Paris,Point(2.351388888 48.856944444)
Camille Lefèvre,19800035/191/24936,1853-12-31T00:00:00Z,Issy-les-Moulineaux,Point(2.269166666 48.823055555),1933-05-23T00:00:00Z,Paris,Point(2.351388888 48.856944444)
Camille Lefèvre,19800035/191/24936,1853-01-01T00:00:00Z,Issy-les-Moulineaux,Point(2.269166666 48.823055555),1933-01-01T00:00:00Z,Paris,Point(2.351388888 48.856944444)
Camille Lefèvre,19800035/191/24936,1853-01-01T00:00:00Z,Issy-les-Moulineaux,Point(2.269166666 48.823055555),1933-05-23T00:00:00Z,Paris,Point(2.351388888 48.856944444)
Camille Margaine,LH/1737/15,1829-12-04T00:00:00Z,Sainte-Menehould,Point(4.897222222 49.09),1893-10-13T00:00:00Z,Paris,Point(2.351388888 48.856944444)
Georges Valiron,19800035/100/12565,1884-09-07T00:00:00Z,Lyon,Point(4.841388888 45.758888888),1955-03-01T00:00:00Z,14e arrondissement de Paris,Point(2.326888888 48.833022222)
Laurent de Gouvion-Saint-Cyr,LH/1182/52,1764-04-13T00:00:00Z,Toul,Point(5.891666667 48.675),1830-03-17T00:00:00Z,Hyères,Point(6.128611111 43.118888888)
Henri Giraud,19800035/106/13288,1879-01-18T00:00:00Z,Paris,Point(2.351388888 48.856944444),1949-03-11T00:00:00Z,Dijon,Point(5.041944444 47.323055555)
Henri Giraud,19800035/106/13288,1879-01-18T00:00:00Z,Paris,Point(2.351388888 48.856944444),1949-03-13T00:00:00Z,Dijon,Point(5.041944444 47.323055555)
Jacques-François-Fromental-Élie Halévy,LH/1259/19,1799-05-27T00:00:00Z,Paris,Point(2.351388888 48.856944444),1862-03-17T00:00:00Z,Nice,Point(7.268333333 43.701944444)
Jacques-Fromental Halévy,LH/1259/19,1799-05-27T00:00:00Z,Paris,Point(2.351388888 48.856944444),1862-03-17T00:00:00Z,Nice,Point(7.268333333 43.701944444)
Louis Hector Leroux,LH/1605/51,1829-12-27T00:00:00Z,Verdun,Point(5.382777777 49.159722222),1900-11-11T00:00:00Z,Angers,Point(-0.555555555 47.472777777)
Désiré François Laugée,LH/1496/69,1823-01-25T00:00:00Z,Maromme,Point(1.041944444 49.481944444),1896-01-24T00:00:00Z,16e arrondissement de Paris,Point(2.276488888 48.863611111)
Léon Halévy,LH/1259/21,1802-01-04T00:00:00Z,Paris,Point(2.351388888 48.856944444),1883-01-01T00:00:00Z,Saint-Germain-en-Laye,Point(2.090555555 48.896388888)
Léon Halévy,LH/1259/21,1802-01-04T00:00:00Z,Paris,Point(2.351388888 48.856944444),1883-09-02T00:00:00Z,Saint-Germain-en-Laye,Point(2.090555555 48.896388888)
Léon Halévy,LH/1259/21,1802-01-01T00:00:00Z,Paris,Point(2.351388888 48.856944444),1883-01-01T00:00:00Z,Saint-Germain-en-Laye,Point(2.090555555 48.896388888)
Léon Halévy,LH/1259/21,1802-01-01T00:00:00Z,Paris,Point(2.351388888 48.856944444),1883-09-02T00:00:00Z,Saint-Germain-en-Laye,Point(2.090555555 48.896388888)
Théodore-Charles Gruyère,LH/1213/27,1813-09-17T00:00:00Z,Paris,Point(2.351388888 48.856944444),1885-03-01T00:00:00Z,6e arrondissement de Paris,Point(2.332233333 48.850530555)
Arthur Chuquet,LH/538/40,1853-03-01T00:00:00Z,Rocroi,Point(4.521388888 49.925277777),1925-06-07T00:00:00Z,Villemomble,Point(2.511111111 48.890277777)
Émile Acollas,LH/6/2,1826-06-24T00:00:00Z,La Châtre,Point(1.987222222 46.582222222),1891-10-17T00:00:00Z,Asnières-sur-Seine,Point(2.285555555 48.911111111)
Florent Schmitt,19800035/190/24799,1870-09-28T00:00:00Z,Blâmont,Point(6.842222222 48.589722222),1958-08-17T00:00:00Z,Neuilly-sur-Seine,Point(2.2675 48.887222222)
Jules Desnoyers,LH/753/86,1800-10-08T00:00:00Z,Nogent-le-Rotrou,Point(0.821666666 48.321666666),1887-09-01T00:00:00Z,Nogent-le-Rotrou,Point(0.821666666 48.321666666)
Auguste Bravais,LH/354/15,1811-08-23T00:00:00Z,Annonay,Point(4.670833333 45.24),1863-03-30T00:00:00Z,Le Chesnay,Point(2.130277777 48.820277777)
Maurice Leblanc,19800035/548/62695,1864-12-11T00:00:00Z,Rouen,Point(1.1025 49.443055555),1941-11-06T00:00:00Z,Perpignan,Point(2.894722222 42.6975)
Maurice Leblanc,19800035/548/62695,1864-11-11T00:00:00Z,Rouen,Point(1.1025 49.443055555),1941-11-06T00:00:00Z,Perpignan,Point(2.894722222 42.6975)
Albert Roussel,19800035/1393/60962,1869-04-05T00:00:00Z,Tourcoing,Point(3.160277777 50.7225),1937-08-23T00:00:00Z,Royan,Point(-1.043055555 45.623055555)
Léon Gastinel,LH/1085/10,1823-08-15T00:00:00Z,Côte-d'Or,Point(4.833333333 47.416666666),1906-01-01T00:00:00Z,Fresnes,Point(2.323611111 48.758888888)
Léon Gastinel,LH/1085/10,1823-08-15T00:00:00Z,Côte-d'Or,Point(4.833333333 47.416666666),1906-10-18T00:00:00Z,Fresnes,Point(2.323611111 48.758888888)
Léon Gastinel,LH/1085/10,1823-01-01T00:00:00Z,Côte-d'Or,Point(4.833333333 47.416666666),1906-01-01T00:00:00Z,Fresnes,Point(2.323611111 48.758888888)
Léon Gastinel,LH/1085/10,1823-01-01T00:00:00Z,Côte-d'Or,Point(4.833333333 47.416666666),1906-10-18T00:00:00Z,Fresnes,Point(2.323611111 48.758888888)
François Tamisier,LH/2566/15,1809-01-22T00:00:00Z,Lons-le-Saunier,Point(5.553888888 46.674444444),1880-05-21T00:00:00Z,Paris,Point(2.351388888 48.856944444)
Auguste Chauveau,LH/509/32,1827-11-23T00:00:00Z,Villeneuve-la-Guyard,Point(3.064444444 48.34),1917-01-04T00:00:00Z,Paris,Point(2.351388888 48.856944444)
Octave Lebesgue,LH/1514/3,1857-11-05T00:00:00Z,Paris,Point(2.351388888 48.856944444),1933-04-24T00:00:00Z,Paris,Point(2.351388888 48.856944444)
André Fontainas,19800035/542/62072,1865-02-05T00:00:00Z,Bruxelles,Point(4.351666666 50.846666666),1948-12-08T00:00:00Z,Paris,Point(2.351388888 48.856944444)
Maurice Maréchal,19800035/598/67689,1892-10-03T00:00:00Z,Dijon,Point(5.041944444 47.323055555),1964-04-19T00:00:00Z,Paris,Point(2.351388888 48.856944444)
Henri Schneider,LH/2484/26,1840-12-10T00:00:00Z,Le Creusot,Point(4.440277777 46.800555555),1898-12-17T00:00:00Z,Paris,Point(2.351388888 48.856944444)
Michel Marie Pacthod,LH/2032/18,1764-01-16T00:00:00Z,Saint-Julien-en-Genevois,Point(6.084166666 46.144166666),1830-03-24T00:00:00Z,Paris,Point(2.351388888 48.856944444)
Jacques Zwobada,19800035/876/2857,1900-08-06T00:00:00Z,Neuilly-sur-Seine,Point(2.2675 48.887222222),1967-09-06T00:00:00Z,Paris,Point(2.351388888 48.856944444)
Gaston Wiet,19800035/1091/25370,1887-12-18T00:00:00Z,2e arrondissement de Paris,Point(2.34047 48.86688),1971-04-20T00:00:00Z,Paris,Point(2.351388888 48.856944444)
Adrien Moreau,LH/1930/15,1843-03-18T00:00:00Z,Troyes,Point(4.078055555 48.298888888),1906-02-22T00:00:00Z,Paris,Point(2.351388888 48.856944444)
Paul Bastid,19800035/1239/43074,1892-05-17T00:00:00Z,Paris,Point(2.351388888 48.856944444),1974-10-29T00:00:00Z,Paris,Point(2.351388888 48.856944444)
Paul Desains,LH/741/18,1817-07-12T00:00:00Z,Saint-Quentin,Point(3.285555555 49.847777777),1885-05-03T00:00:00Z,Paris,Point(2.351388888 48.856944444)
Paul Segond,LH/2492/24,1851-05-08T00:00:00Z,Paris,Point(2.351388888 48.856944444),1912-10-27T00:00:00Z,Paris,Point(2.351388888 48.856944444)
Paul Hautefeuille,LH/1272/52,1836-12-02T00:00:00Z,Étampes,Point(2.162222222 48.435),1902-12-08T00:00:00Z,Paris,Point(2.351388888 48.856944444)
Paul Helbronner,LH/1278/59,1871-04-24T00:00:00Z,Compiègne,Point(2.822222222 49.414166666),1938-10-18T00:00:00Z,Paris,Point(2.351388888 48.856944444)
Évariste-Vital Luminais,LH/1675/69,1821-10-13T00:00:00Z,Nantes,Point(-1.553888888 47.217222222),1896-05-14T00:00:00Z,Paris,Point(2.351388888 48.856944444)
Paul Jouve,19800035/1192/37869,1878-03-16T00:00:00Z,Bourron-Marlotte,Point(2.707777777 48.341111111),1973-05-13T00:00:00Z,Paris,Point(2.351388888 48.856944444)
Paul Puget,LH/641/44,1848-06-25T00:00:00Z,Nantes,Point(-1.553888888 47.217222222),1917-03-15T00:00:00Z,Paris,Point(2.351388888 48.856944444)
Paul Auguste Sollier,LH/2533/9,1861-08-31T00:00:00Z,Bléré,Point(0.989722222 47.325277777),1933-06-08T00:00:00Z,Paris,Point(2.351388888 48.856944444)
Paul Tirard,19800035/449/60067,1879-06-02T00:00:00Z,Nogent-le-Rotrou,Point(0.821666666 48.321666666),1945-12-23T00:00:00Z,Paris,Point(2.351388888 48.856944444)
Paul Welsch,19800035/115/14483,1889-07-26T00:00:00Z,Strasbourg,Point(7.752222222 48.573333333),1954-06-16T00:00:00Z,Paris,Point(2.351388888 48.856944444)
Paul de Choudens,LH/534/52,1850-08-05T00:00:00Z,Paris,Point(2.351388888 48.856944444),1925-10-06T00:00:00Z,Paris,Point(2.351388888 48.856944444)
Paul de Choudens,LH/534/52,1850-08-05T00:00:00Z,Paris,Point(2.351388888 48.856944444),1925-10-07T00:00:00Z,Paris,Point(2.351388888 48.856944444)
Paul de Choudens,LH/534/52,1850-06-05T00:00:00Z,Paris,Point(2.351388888 48.856944444),1925-10-06T00:00:00Z,Paris,Point(2.351388888 48.856944444)
Paul de Choudens,LH/534/52,1850-06-05T00:00:00Z,Paris,Point(2.351388888 48.856944444),1925-10-07T00:00:00Z,Paris,Point(2.351388888 48.856944444)
Emmanuel Pontremoli,19800035/227/29948,1865-01-13T00:00:00Z,Nice,Point(7.268333333 43.701944444),1956-07-22T00:00:00Z,Paris,Point(2.351388888 48.856944444)
Jean Marie Pierre Dorsenne,LH/1593/58,1771-01-30T00:00:00Z,Ardres,Point(1.9775 50.854722222),1812-07-12T00:00:00Z,Paris,Point(2.351388888 48.856944444)
Justin Marie Jolly,19800035/109/13734,1870-08-06T00:00:00Z,Melun,Point(2.659166666 48.539722222),1953-02-01T00:00:00Z,Paris,Point(2.351388888 48.856944444)
Auguste Préault,LH/2221/46,1809-10-09T00:00:00Z,Paris,Point(2.351388888 48.856944444),1879-01-11T00:00:00Z,Paris,Point(2.351388888 48.856944444)
Auguste Préault,LH/2221/46,1809-10-06T00:00:00Z,Paris,Point(2.351388888 48.856944444),1879-01-11T00:00:00Z,Paris,Point(2.351388888 48.856944444)
Pierre Dumanoir le Pelley,LH/1595/26,1770-08-02T00:00:00Z,Granville,Point(-1.586944444 48.838055555),1829-07-07T00:00:00Z,Paris,Point(2.351388888 48.856944444)
Pierre Dumanoir le Pelley,LH/841/66,1770-08-02T00:00:00Z,Granville,Point(-1.586944444 48.838055555),1829-07-07T00:00:00Z,Paris,Point(2.351388888 48.856944444)
Henri-Frédéric Iselin,LH/1336/33,1825-12-15T00:00:00Z,Clairegoutte,Point(6.621388888 47.663611111),1905-03-30T00:00:00Z,Paris,Point(2.351388888 48.856944444)
Rémy Roure,19800035/708/80726,1885-10-30T00:00:00Z,Arcens,Point(4.328333333 44.900277777),1966-11-08T00:00:00Z,Paris,Point(2.351388888 48.856944444)
Léon Riesener,LH/2328/5,1808-01-21T00:00:00Z,Paris,Point(2.351388888 48.856944444),1878-05-25T00:00:00Z,Paris,Point(2.351388888 48.856944444)
Philippe-Paul de Ségur,LH/2493/62,1780-11-04T00:00:00Z,Paris,Point(2.351388888 48.856944444),1873-01-01T00:00:00Z,Paris,Point(2.351388888 48.856944444)
Philippe-Paul de Ségur,LH/2493/62,1780-11-04T00:00:00Z,Paris,Point(2.351388888 48.856944444),1873-02-25T00:00:00Z,Paris,Point(2.351388888 48.856944444)
Philippe-Paul de Ségur,LH/2493/74,1780-11-04T00:00:00Z,Paris,Point(2.351388888 48.856944444),1873-01-01T00:00:00Z,Paris,Point(2.351388888 48.856944444)
Philippe-Paul de Ségur,LH/2493/74,1780-11-04T00:00:00Z,Paris,Point(2.351388888 48.856944444),1873-02-25T00:00:00Z,Paris,Point(2.351388888 48.856944444)
