leonoreid,images
LH/2426/69,http://commons.wikimedia.org/wiki/Special:FilePath/General%20Francois%20de%20Ruty.jpg
LH/2720/52,http://commons.wikimedia.org/wiki/Special:FilePath/Christophe%20de%20Villeneuve-Bargemon.jpg
LH/2742/82,http://commons.wikimedia.org/wiki/Special:FilePath/Waddington%2C%20Charles%20%28Le%20Si%C3%A8cle%2C%201914-03-26%29.jpg
LH/2761/14,http://commons.wikimedia.org/wiki/Special:FilePath/Charles%20Fran%C3%A7ois%20Woirhaye%20%281798-1878%29%20arrange.jpg
LH/291/51,http://commons.wikimedia.org/wiki/Special:FilePath/Jussey%20Buste%20de%20Charles%20Bontemps.jpg
LH/305/40,http://commons.wikimedia.org/wiki/Special:FilePath/Buste%20de%20Claude%20Boucher.JPG
LH/378/57,http://commons.wikimedia.org/wiki/Special:FilePath/Prosper%20de%20barante.jpg
LH/2655/3,http://commons.wikimedia.org/wiki/Special:FilePath/Eug%C3%A8ne%20Trutat%20par%20Nadar%20Mus%C3%A9um%20de%20Toulouse.jpg
LH/367/36,http://commons.wikimedia.org/wiki/Special:FilePath/Charles%20Briot.jpg
LH/670/45,http://commons.wikimedia.org/wiki/Special:FilePath/Dauverne.jpg
LH/675/5,http://commons.wikimedia.org/wiki/Special:FilePath/Gabriel%20Davioud%201878.jpg
LH/694/4,http://commons.wikimedia.org/wiki/Special:FilePath/Henri-Francois%20Delaborde.png
LH/95/80,http://commons.wikimedia.org/wiki/Special:FilePath/Jacques%20Bainville%20-%20photo%20Fr%C3%A9d%C3%A9ric%20Boissonnas%20%28cropped%29.jpg
LH/979/44,http://commons.wikimedia.org/wiki/Special:FilePath/Fran%C3%A7ois%20Flameng.jpg
LH/987/83,http://commons.wikimedia.org/wiki/Special:FilePath/Pierre%20Flourens%20%281794-1867%29.jpg
19800035/463/61865,http://commons.wikimedia.org/wiki/Special:FilePath/Maurice%20Emmanuel%201930.JPG
LH/194/69,http://commons.wikimedia.org/wiki/Special:FilePath/Claude%20Bernard%205.jpg
LH/374/16,http://commons.wikimedia.org/wiki/Special:FilePath/Portrait%20of%20Paul%20Camille%20H.%20Brouardel%20Wellcome%20L0010301.jpg
LH/374/17,http://commons.wikimedia.org/wiki/Special:FilePath/Portrait%20of%20Paul%20Camille%20H.%20Brouardel%20Wellcome%20L0010301.jpg
19800035/1140/30467,http://commons.wikimedia.org/wiki/Special:FilePath/Rene%20Mayer.jpg
19800035/1350/56433,http://commons.wikimedia.org/wiki/Special:FilePath/Portrait%20de%20Pierre%20Jean%20Jouve.jpg
19800035/205/26838,http://commons.wikimedia.org/wiki/Special:FilePath/Andr%C3%A9%20Michelin%201920.jpg
LH/1025/30,http://commons.wikimedia.org/wiki/Special:FilePath/Adolphe%20Franck.jpg
LH/148/82,http://commons.wikimedia.org/wiki/Special:FilePath/Antoine%20Laurent%20Jess%C3%A9%20Bayle.jpg
LH/199/2,http://commons.wikimedia.org/wiki/Special:FilePath/Tristan%20Bernard%201929.jpg
LH/674/9,http://commons.wikimedia.org/wiki/Special:FilePath/David%20d%27Angers%2C%20Pierre-Jean%2C%20Edouard%20Baldus%2C%20BNF%20Gallica.jpg
LH/7/21,http://commons.wikimedia.org/wiki/Special:FilePath/Portrait%20of%20Paul%20Adam.jpg
LH/2275/34,http://commons.wikimedia.org/wiki/Special:FilePath/Maurice%20Raynaud-1913.jpg
LH/2388/3,http://commons.wikimedia.org/wiki/Special:FilePath/%C3%89douard-Alphonse-James%20de%20Rothschild.jpg
LH/404/4,http://commons.wikimedia.org/wiki/Special:FilePath/Portrait%20du%20peintre%20Emile%20Cagniart.jpg
LH/771/40,http://commons.wikimedia.org/wiki/Special:FilePath/Etchegoyen%2C%20Olivier%20%28Paris-Soir%2C%201924-07-07%29.jpg
19800035/765/86927,http://commons.wikimedia.org/wiki/Special:FilePath/E.%20DUZER%20Commandeur.jpg
19800035/249/33220,http://commons.wikimedia.org/wiki/Special:FilePath/Pierre%20Puiseux.jpg
LH/1508/35,http://commons.wikimedia.org/wiki/Special:FilePath/Ernest%20Lavisse%201913.jpg
LH/1650/11,http://commons.wikimedia.org/wiki/Special:FilePath/Maurice%20Loewy%20astronome.png
LH/2645/39,http://commons.wikimedia.org/wiki/Special:FilePath/Jean%20Tharaud%201932.jpg
LH/1373/8,http://commons.wikimedia.org/wiki/Special:FilePath/L%27Illustration%201862%20gravure%20M.%20Jomard%2C%20de%20l%27Institut.jpg
LH/1567/3,http://commons.wikimedia.org/wiki/Special:FilePath/Henri%20Lehmann.jpg
LH/267/50,http://commons.wikimedia.org/wiki/Special:FilePath/Andr%C3%A9%20Adolphe-Eug%C3%A8ne%20Disd%C3%A9ri%20%28French%20-%20%28Rosa%20Bonheur%29%20-%20Google%20Art%20Project.jpg
LH/1098/30,http://commons.wikimedia.org/wiki/Special:FilePath/Judith%20Gautier%20circa%201880.jpg
LH/1181/28,http://commons.wikimedia.org/wiki/Special:FilePath/Thomas%20Gousset.jpg
LH/2270/86,http://commons.wikimedia.org/wiki/Special:FilePath/Victor%20Rault%20%281858-1930%29.png
LH/2552/30,http://commons.wikimedia.org/wiki/Special:FilePath/Olivier%20Taigny.jpg
19800035/1484/72515,http://commons.wikimedia.org/wiki/Special:FilePath/Mouthon%2C%20Fran%C3%A7ois%20%28Paris-Soir%2C%201925-03-30%29.jpg
19800035/643/74259,http://commons.wikimedia.org/wiki/Special:FilePath/Jules%20Goux%20in%20his%20Peugeot%201924%20%28cropped%29.jpg
LH/1472/39,http://commons.wikimedia.org/wiki/Special:FilePath/Jean%20lannes.jpg
LH/2042/39,http://commons.wikimedia.org/wiki/Special:FilePath/WP-Rene%20Panhard.jpg
LH/75/1,http://commons.wikimedia.org/wiki/Special:FilePath/Augier.jpg
19800035/1436/66288,http://commons.wikimedia.org/wiki/Special:FilePath/Andr%C3%A9%20Labat%28t%29ut%20en%20d%C3%A9cembre%201926.jpg
19800035/577/65573,http://commons.wikimedia.org/wiki/Special:FilePath/Henry%20Bordeaux%201919.jpg
LH/1679/66,http://commons.wikimedia.org/wiki/Special:FilePath/Mac%20Guckin%20de%20Slane%2C%20William.%20Ch.Reutlinger.%20BNF%20Gallica.jpg
LH/209/66,http://commons.wikimedia.org/wiki/Special:FilePath/Henri%20Berthelot.jpg
LH/1258/19,http://commons.wikimedia.org/wiki/Special:FilePath/Reynaldo%20Hahn.jpg
LH/129/44,http://commons.wikimedia.org/wiki/Special:FilePath/Antoine-Louis%20Barye%2C%20by%20Charles%20Camino.jpg | http://commons.wikimedia.org/wiki/Special:FilePath/Bonnat08.jpg
LH/404/67,http://commons.wikimedia.org/wiki/Special:FilePath/Auguste%20Andr%C3%A9%20Thomas%20Cahours.jpg
LH/432/44,http://commons.wikimedia.org/wiki/Special:FilePath/Jules%20Carpentier.jpg
LH/535/29,http://commons.wikimedia.org/wiki/Special:FilePath/Gustave%20Chouquet%20by%20F%20Lacour%20-%20Gallica%20%28adjusted%29.jpg
LH/618/72,http://commons.wikimedia.org/wiki/Special:FilePath/Victor%20Cousin%20by%20Gustave%20Le%20Gray%2C%20late%201850s-crop.jpg
LH/1187/16,http://commons.wikimedia.org/wiki/Special:FilePath/Henri%20Grandet.jpg
19800035/560/63884,http://commons.wikimedia.org/wiki/Special:FilePath/Boles%C5%82aw%20Motz.jpg
LH/1067/53,http://commons.wikimedia.org/wiki/Special:FilePath/Chekri%20Ganem%20photo%20portrait.png
LH/110/91,http://commons.wikimedia.org/wiki/Special:FilePath/Barbier%20de%20Meynard%2C%20Charles%20Adrien%20Casimir%2C%20par%20Eug%C3%A8ne%20Pirou%2C%20BNF%20Gallica.jpg
LH/1150/27,http://commons.wikimedia.org/wiki/Special:FilePath/Charles%20Girault%20by%20Fran%C3%A7ois%20Schommer.jpg
LH/1545/58,http://commons.wikimedia.org/wiki/Special:FilePath/Ch%20Lefebvre.jpg
LH/209/75,http://commons.wikimedia.org/wiki/Special:FilePath/Philippe%20Berthelot%201925.jpg
LH/2764/64,http://commons.wikimedia.org/wiki/Special:FilePath/Yriarte%2C%20Charles.jpg
LH/948/64,http://commons.wikimedia.org/wiki/Special:FilePath/Marie%20Charles%20C%C3%A9sar%20de%20Fay%2C%20comte%20de%20Latour%20Maubourg.jpg
19800035/132/16633,http://commons.wikimedia.org/wiki/Special:FilePath/Btv1b531563113%20port%20militaire%20de%20Brest%20-%20Breymann%20%28cropped%29.jpg
19800035/734/83376,http://commons.wikimedia.org/wiki/Special:FilePath/Portrait%20de%20Jules%20Majorelle%20%28cropped%29.jpg
LH/940/2,http://commons.wikimedia.org/wiki/Special:FilePath/Faure%2C%20Casimir%20%28Suppl%C3%A9ment%20illustr%C3%A9%20de%20l%27Antijuif%20alg%C3%A9rien%2C%201899-06-11%29.jpg
19800035/390/52315,http://commons.wikimedia.org/wiki/Special:FilePath/Emile%20Marchoux.%20Photograph.%20Wellcome%20V0027730.jpg
19800035/681/78087,http://commons.wikimedia.org/wiki/Special:FilePath/Edouard%20dhorme%20paris-vers-1940.png
19800035/763/86686,http://commons.wikimedia.org/wiki/Special:FilePath/Charles%20Andler.jpg
C/0/10,http://commons.wikimedia.org/wiki/Special:FilePath/Armand%20Fallieres.jpg
C/0/41,http://commons.wikimedia.org/wiki/Special:FilePath/Dubufe%20-%20Marshal%20Mortier.jpg
C/0/8,http://commons.wikimedia.org/wiki/Special:FilePath/Felix%20Faure.jpg
LH/1396/76,http://commons.wikimedia.org/wiki/Special:FilePath/%C3%89mile%20de%20K%C3%A9ratry%20par%20Franck.JPEG
LH/2028/39,http://commons.wikimedia.org/wiki/Special:FilePath/Dodo%20painting%20jardin%20des%20plantes.JPG
LH/2142/45,http://commons.wikimedia.org/wiki/Special:FilePath/%C3%89douard%20Phillips.jpg
LH/2292/15,http://commons.wikimedia.org/wiki/Special:FilePath/Louis%20Renault%20en%201918.jpg | http://commons.wikimedia.org/wiki/Special:FilePath/Louis%20Renault%2C%20Washington%2C%201940.jpg
LH/2337/65,http://commons.wikimedia.org/wiki/Special:FilePath/%C3%89douard%20Risler%2001.jpg
LH/2562/17,http://commons.wikimedia.org/wiki/Special:FilePath/Paul%20Taffanel.jpg
LH/2679/38,http://commons.wikimedia.org/wiki/Special:FilePath/Vaudremer.JPG
LH/327/74,http://commons.wikimedia.org/wiki/Special:FilePath/Emile%20Bourgeois%20%2847212396%29.jpg
LH/34/33,http://commons.wikimedia.org/wiki/Special:FilePath/%C3%89douard%20Fran%C3%A7ois%20Andr%C3%A900.jpg
LH/436/32,http://commons.wikimedia.org/wiki/Special:FilePath/Carriere.jpeg
LH/437/47,http://commons.wikimedia.org/wiki/Special:FilePath/Elie-Cartan-1904.png
LH/500/89,http://commons.wikimedia.org/wiki/Special:FilePath/Chassinat%281%29.png
LH/709/25,http://commons.wikimedia.org/wiki/Special:FilePath/Del%C3%A9cluze%20portrait%20par%20Ingres.jpeg
LH/1087/69,http://commons.wikimedia.org/wiki/Special:FilePath/Philippe%20Charles%20Ernest%20GAUCHER.jpg
LH/2221/11,http://commons.wikimedia.org/wiki/Special:FilePath/Charles%20Pravaz.jpg
LH/2330/67,http://commons.wikimedia.org/wiki/Special:FilePath/Rigny%2C%20Henri%20de.jpg
LH/2387/64,http://commons.wikimedia.org/wiki/Special:FilePath/1900%20circa%20Oscar%20Roty%2C%20Photographie%20d%27un%20auteur%20encore%20inconnu.jpg
LH/360/77,http://commons.wikimedia.org/wiki/Special:FilePath/Justinien%20Clary%201928.jpg
LH/780/74,http://commons.wikimedia.org/wiki/Special:FilePath/Alfred%20Ditte.jpg
19800035/357/48014,http://commons.wikimedia.org/wiki/Special:FilePath/Mondor%2C%20Henri%20Jean%20Justin%20CIPB1935.jpg
LH/1012/52,http://commons.wikimedia.org/wiki/Special:FilePath/Fourichon%2C%20Martin.jpg
LH/1103/38,http://commons.wikimedia.org/wiki/Special:FilePath/Honor%C3%A9%20Th%C3%A9odore%20Maxime%20Gazan%20de%20la%20Peyri%C3%A8re.png
LH/1393/46,http://commons.wikimedia.org/wiki/Special:FilePath/Gustave%20Kahn%2C%20portrait.jpg
LH/2316/54,http://commons.wikimedia.org/wiki/Special:FilePath/Th%C3%A9odule%20Ribot.jpg
LH/2327/25,http://commons.wikimedia.org/wiki/Special:FilePath/Daniel%20ridgway%20knight%20photo%20of%20artist%20c1908.jpg
LH/2387/33,http://commons.wikimedia.org/wiki/Special:FilePath/%D7%94%D7%91%D7%A8%D7%95%D7%9F%20%28%20%D7%90%D7%93%D7%9E%D7%95%D7%A0%D7%93%20%D7%93%D7%94%20%D7%A8%D7%95%D7%98%D7%A9%D7%99%D7%9C%D7%93%20%D6%BC1934%20-%201845%D7%82-JNF012590.jpeg
LH/93/6,http://commons.wikimedia.org/wiki/Special:FilePath/Baillon%2C%20Henri%20Ernest%20%281827-1895%29%20CIPN21501.jpg
LH/1166/12,http://commons.wikimedia.org/wiki/Special:FilePath/Des%20Granges%2C%20Charles%20%28France%20illustr%C3%A9e%2C%201910-04-30%29.jpg
C/0/12,http://commons.wikimedia.org/wiki/Special:FilePath/Deschanel.jpg | http://commons.wikimedia.org/wiki/Special:FilePath/Portrait%20officiel%20P.%20Deschanel.jpg
C/0/19,http://commons.wikimedia.org/wiki/Special:FilePath/Georges%20Bidault.jpg
C/0/54,http://commons.wikimedia.org/wiki/Special:FilePath/Jean%20Fran%C3%A7ois%20Aim%C3%A9%20Dejean%20%281749-1824%29.jpg
19800035/198/25889,http://commons.wikimedia.org/wiki/Special:FilePath/D%27Astier-Hymans-Parpais.JPG
19800035/424/56686,http://commons.wikimedia.org/wiki/Special:FilePath/Roger%20Martin%20du%20Gard%201937.jpg
19800035/778/88140,http://commons.wikimedia.org/wiki/Special:FilePath/Alfred%20Cortot%2001.jpg
C/0/45,http://commons.wikimedia.org/wiki/Special:FilePath/G%C3%A9n%C3%A9ral%20R%C3%A9my%20Isidore%20Exelmans.jpg
LH/1522/15,http://commons.wikimedia.org/wiki/Special:FilePath/Joseph%20Le%20Brix%20-%201928.jpg
LH/1628/33,http://commons.wikimedia.org/wiki/Special:FilePath/19th%20century%20drawing%20of%20Pierre%20Marc%20Gaston%20de%20L%C3%A9vis%2C%20Duke%20of%20L%C3%A9vis.jpg
LH/1610/38,http://commons.wikimedia.org/wiki/Special:FilePath/Leroy%20de%20Saint-Arnaud%20-%20photo%20Pierson.jpg
LH/1709/3,http://commons.wikimedia.org/wiki/Special:FilePath/Anatolemallet.jpg
LH/355/95,http://commons.wikimedia.org/wiki/Special:FilePath/Abraham%20Louis%20Breguet%2002.jpg
LH/518/9,http://commons.wikimedia.org/wiki/Special:FilePath/Victor%20Cherbuliez%20par%20Eug%C3%A8ne%20Pirou.jpg
LH/1396/35,http://commons.wikimedia.org/wiki/Special:FilePath/Kellermann%2C%20Francois%20Etienne.jpg
LH/1991/2,http://commons.wikimedia.org/wiki/Special:FilePath/Claude%20F%C3%A9lix%20Abel%20Ni%C3%A9pce%20de%20Saint-Victor.jpg
LH/2784/29,http://commons.wikimedia.org/wiki/Special:FilePath/Hector%20Fabre.jpg
LH/44/56,http://commons.wikimedia.org/wiki/Special:FilePath/Fran%C3%A7ois%20Arago%20par%20Ary%20Scheffer.jpg
LH/879/60,http://commons.wikimedia.org/wiki/Special:FilePath/Ferdinand%20Dutert.jpg
LH/2740/47,http://commons.wikimedia.org/wiki/Special:FilePath/111-SC-31982%20-%20NARA%20-%2055223122-cropped.jpg
LH/611/13,http://commons.wikimedia.org/wiki/Special:FilePath/Garcin-Courdouan.jpg
LH/1252/31,http://commons.wikimedia.org/wiki/Special:FilePath/Guyon%2C%20Eug%C3%A8ne%20%28Annuaire%20de%20la%20presse%20fran%C3%A7aise%2C%201891%29.jpg
LH/140/43,http://commons.wikimedia.org/wiki/Special:FilePath/Portrait-Charles-Baudin.jpg
LH/397/94,http://commons.wikimedia.org/wiki/Special:FilePath/Charles%20Busson.png
LH/485/50,http://commons.wikimedia.org/wiki/Special:FilePath/Portrait%20of%20Charles-Pierre%20Chapsal%20by%20Sophie%20Lemire.jpg
LH/967/16,http://commons.wikimedia.org/wiki/Special:FilePath/Octave%20Feuiller%20%28Harper%27s%20engraving%29.png
19800035/109/13754,http://commons.wikimedia.org/wiki/Special:FilePath/L%C3%A9on%20Jouhaux%20nobel.jpg
19800035/163/20935,http://commons.wikimedia.org/wiki/Special:FilePath/Marc%20Bloch.jpg
19800035/187/24276,http://commons.wikimedia.org/wiki/Special:FilePath/Georges%20Rouault.png
19800035/240/31926,http://commons.wikimedia.org/wiki/Special:FilePath/Lazare%20Weiller-1920.jpg
LH/1848/3,http://commons.wikimedia.org/wiki/Special:FilePath/Ilya%20Mechnikov%20nobel.jpg
LH/2195/37,http://commons.wikimedia.org/wiki/Special:FilePath/Jean-Victor%20Poncelet.jpg
LH/366/46,http://commons.wikimedia.org/wiki/Special:FilePath/Brinon%2C%20Fernand.jpg
LH/644/57,http://commons.wikimedia.org/wiki/Special:FilePath/Jan%20Henryk%20D%C4%85browski%201.PNG
LH/658/46,http://commons.wikimedia.org/wiki/Special:FilePath/Darboux.jpg
LH/842/3,http://commons.wikimedia.org/wiki/Special:FilePath/Alexandre%20Dumas%20fils.jpg
LH/1101/18,http://commons.wikimedia.org/wiki/Special:FilePath/Claudio%20Gay%28fotograf%C3%ADa%29.JPG
LH/1675/48,http://commons.wikimedia.org/wiki/Special:FilePath/Antoine%20Lumi%C3%A8re.jpg
LH/2486/19,http://commons.wikimedia.org/wiki/Special:FilePath/Jean%20Franz%20Daniel%20Schrader.JPEG
LH/681/23,http://commons.wikimedia.org/wiki/Special:FilePath/Claude%20Th%C3%A9odore%20Decaen%20-%20General.jpg
LH/744/34,http://commons.wikimedia.org/wiki/Special:FilePath/Claude%20Deschamps%20%281765-1843%29.jpg
19800035/1052/21204,http://commons.wikimedia.org/wiki/Special:FilePath/Eug%C3%A8ne%20Martel%20Portrait%20de%20Jean%20Giono%20en%201937.jpg
LH/1003/68,http://commons.wikimedia.org/wiki/Special:FilePath/Fran%C3%A7ois%20de%20Fossa%20-%20Portrait.jpg
LH/1711/69,http://commons.wikimedia.org/wiki/Special:FilePath/Malte-Brun%2C%20Victor%20Adolphe%2C%20par%20Alexandre%20Quinet%2C%20BNF%20Gallica.jpg
LH/1969/60,http://commons.wikimedia.org/wiki/Special:FilePath/Alfred%20de%20musset.jpg
LH/6/20,http://commons.wikimedia.org/wiki/Special:FilePath/Adolphe%20Adam.jpg
LH/1931/13,http://commons.wikimedia.org/wiki/Special:FilePath/Moreau%20Saint-Mery.jpg
19800035/1032/19136,http://commons.wikimedia.org/wiki/Special:FilePath/%C3%89douard%20Daladier.jpg
19800035/749/84960,http://commons.wikimedia.org/wiki/Special:FilePath/L%C3%A9on%20Samoilovitch%20Bakst%20in%201916.jpg
19800035/902/5503,http://commons.wikimedia.org/wiki/Special:FilePath/Mario%20de%20andrade%201928b.png
C/0/37,http://commons.wikimedia.org/wiki/Special:FilePath/Dominique%20Dufour%20de%20Pradt.jpeg
LH/1368/55,http://commons.wikimedia.org/wiki/Special:FilePath/Joseph%20Joffre.jpg | http://commons.wikimedia.org/wiki/Special:FilePath/Henri%20Jacquier%20-%20Portrait%20of%20Gen%20Joffre.jpg
LH/1928/29,http://commons.wikimedia.org/wiki/Special:FilePath/GustaveMoreau02.jpg
LH/950/16,http://commons.wikimedia.org/wiki/Special:FilePath/Fonds%20henri%20fayol.jpg
LH/2494/50,http://commons.wikimedia.org/wiki/Special:FilePath/Paul%20Seignette.png
LH/2200/10,http://commons.wikimedia.org/wiki/Special:FilePath/Sabran-Pontev%C3%A8s%2C%20Jean.jpg
LH/1155/6,http://commons.wikimedia.org/wiki/Special:FilePath/Baron%20de%20Glandeves.jpg
19800035/245/32564,http://commons.wikimedia.org/wiki/Special:FilePath/Portrait%20d%27Edouard%20Delamare-Deboutteville.jpg
LH/500/22,http://commons.wikimedia.org/wiki/Special:FilePath/General%20D%20H%20Chass%C3%A9.jpg
LH/2615/64,http://commons.wikimedia.org/wiki/Special:FilePath/Orl%C3%A9ans%20%2845%29%20Cath%C3%A9drale%20Ste-Croix%20Statue%20du%20cardinal%20Touchet.jpg
LH/2788/39,http://commons.wikimedia.org/wiki/Special:FilePath/Lameth%2C%20Alexandre.jpg
LH/328/28,http://commons.wikimedia.org/wiki/Special:FilePath/L%C3%A9on%20Bourgeois.jpg | http://commons.wikimedia.org/wiki/Special:FilePath/L%C3%A9on%20Bourgeois%201917.jpg
LH/540/11,http://commons.wikimedia.org/wiki/Special:FilePath/Andr%C3%A9%20Citro%C3%ABn%201932.jpg
LH/977/56,http://commons.wikimedia.org/wiki/Special:FilePath/Hippolyte%20Fizeau.jpg
LH/857/49,http://commons.wikimedia.org/wiki/Special:FilePath/111-SC-22536%20-%20NARA%20-%2055204775%20General%20Duport%2C%20commanding%206th%20Army%20Corps%20%28French%29%20%28cropped%29.jpg
19800035/962/11738,http://commons.wikimedia.org/wiki/Special:FilePath/L%C3%A9on%20Martinaud-D%C3%A9plat-1932.jpg
LH/1256/52,http://commons.wikimedia.org/wiki/Special:FilePath/Jean%20Nicolas%20Pierre%20Hachette.jpg
LH/14/6,http://commons.wikimedia.org/wiki/Special:FilePath/Portrait%20de%20Jean%20Alaux%20dit%20le%20Romain%20par%20Ingres.jpg
LH/1463/55,http://commons.wikimedia.org/wiki/Special:FilePath/Etienne%20Lamy.jpg
LH/1585/35,http://commons.wikimedia.org/wiki/Special:FilePath/Fran%C3%A7ois%20Lemot%20croquis%20portrait.jpg
LH/1856/22,http://commons.wikimedia.org/wiki/Special:FilePath/Meyer%2C%20Paul.jpg
LH/24/55,http://commons.wikimedia.org/wiki/Special:FilePath/D%27ALLONVILLE.jpg
LH/455/71,http://commons.wikimedia.org/wiki/Special:FilePath/Caverot.jpg
LH/779/23,http://commons.wikimedia.org/wiki/Special:FilePath/Henri%20de%20Dion.jpg
LH/789/38,http://commons.wikimedia.org/wiki/Special:FilePath/Maurice%20Donnay%20-%20photo%20Henri%20Manuel.jpg
LH/100/10,http://commons.wikimedia.org/wiki/Special:FilePath/Paul%20Balluet%20nobel.jpg
LH/1381/74,http://commons.wikimedia.org/wiki/Special:FilePath/JEAN%20BAPTISTE%20JOURDAN%20%281762-1833%29.jpg
LH/2027/2,http://commons.wikimedia.org/wiki/Special:FilePath/Gu%C3%A9dy%20-%20Nicolas-Charles-Victor%20Oudinot%20%281791-1863%29%2C%20duc%20de%20Reggio.jpg
LH/2312/76,http://commons.wikimedia.org/wiki/Special:FilePath/G%C3%A9n%C3%A9ral%20Jean%20Louis%20Eb%C3%A9n%C3%A9zer%20Reynier.jpg
19800035/176/22683,http://commons.wikimedia.org/wiki/Special:FilePath/Edmond%20Bouty%20portr.png
19800035/2/230,http://commons.wikimedia.org/wiki/Special:FilePath/Yvonne-Aimee.jpg
LH/123/12,http://commons.wikimedia.org/wiki/Special:FilePath/Petit-Barrias.jpg
LH/561/21,http://commons.wikimedia.org/wiki/Special:FilePath/Edmond%20Coignet.png
LH/995/12,http://commons.wikimedia.org/wiki/Special:FilePath/Louis%20de%20Fontanes.jpg
19800035/1435/66107,http://commons.wikimedia.org/wiki/Special:FilePath/Emile%20Dard.jpg
19800035/20/2522,http://commons.wikimedia.org/wiki/Special:FilePath/Georges%20Journois.jpg
LH/1095/15,http://commons.wikimedia.org/wiki/Special:FilePath/L%C3%A9on%20Gautier.jpg
LH/148/9,http://commons.wikimedia.org/wiki/Special:FilePath/EmileBayard%202.jpg
LH/1488/34,http://commons.wikimedia.org/wiki/Special:FilePath/Edouard%20Lartet.jpg
LH/2038/37,http://commons.wikimedia.org/wiki/Special:FilePath/Emile%20Paladilhe.jpg
LH/2770/40,http://commons.wikimedia.org/wiki/Special:FilePath/Zurlinden.jpg
LH/341/33,http://commons.wikimedia.org/wiki/Special:FilePath/%C3%89mile%20Boutroux.jpg
LH/360/55,http://commons.wikimedia.org/wiki/Special:FilePath/Jules%20Breton.jpg
LH/730/82,http://commons.wikimedia.org/wiki/Special:FilePath/NieuportEdouard.jpg
LH/804/13,http://commons.wikimedia.org/wiki/Special:FilePath/%C3%89mile%20Driant%201.jpg
LH/918/57,http://commons.wikimedia.org/wiki/Special:FilePath/Fabiani%2C%20Louis%20%28Petit%20Caporal%2C%201899-06-01%29.jpeg
LH/1674/22,http://commons.wikimedia.org/wiki/Special:FilePath/Le%20cardinal%20Lu%C3%A7on%2C%20archev%C3%AAque%20de%20Reims.jpg
LH/2239/9,http://commons.wikimedia.org/wiki/Special:FilePath/Raoul%20Pugno%2C%20around%201905%20%28cropped%29.jpg
C/0/42,http://commons.wikimedia.org/wiki/Special:FilePath/David%20Etienne%20Maurice%20Gerard.jpg
C/0/5,http://commons.wikimedia.org/wiki/Special:FilePath/Jules%20Grevy.jpg | http://commons.wikimedia.org/wiki/Special:FilePath/Portrait%20Jules%20Gr%C3%A9vy.jpg
LH/102/24,http://commons.wikimedia.org/wiki/Special:FilePath/F%C3%A9lix%20Nadar%201820-1910%20Portrait%20de%20Th%C3%A9odore%20de%20Banville.jpg
LH/1259/19,http://commons.wikimedia.org/wiki/Special:FilePath/Fromental%20Halevy%20by%20Etienne%20Carjat-crop.jpg
LH/1517/42,http://commons.wikimedia.org/wiki/Special:FilePath/Gustave%20Le%20Bon.jpg
LH/1736/73,http://commons.wikimedia.org/wiki/Special:FilePath/Marey%20E%20J.jpg
LH/430/41,http://commons.wikimedia.org/wiki/Special:FilePath/Claude-Marie%20Carnot.jpg
LH/48/69,http://commons.wikimedia.org/wiki/Special:FilePath/Colonel%20Comte%20Charles%20d%20ARGY%201805.1870.2.jpg
LH/592/4,http://commons.wikimedia.org/wiki/Special:FilePath/Charles%20Cornevin.jpg
LH/640/21,http://commons.wikimedia.org/wiki/Special:FilePath/M.%20Cunin-Gridaine%2C%20s%C3%A9nateur%20%28L%27Illustration%29.jpg
LH/78/49,http://commons.wikimedia.org/wiki/Special:FilePath/D%27Autemarre%20d%27Erville%2C%20g%C3%A9n%C3%A9ral%20Charles%2C%20Gustave%20Le%20Gray%20GALLICA.jpg
LH/836/47,http://commons.wikimedia.org/wiki/Special:FilePath/Charles%20Eleonore%20Dufriche-Desgenettes.jpg
LH/105/9,http://commons.wikimedia.org/wiki/Special:FilePath/G%C3%A9n%C3%A9ral%20Joseph%20Barban%C3%A8gre.jpg
LH/1655/27,http://commons.wikimedia.org/wiki/Special:FilePath/Albert%20Londres%20en%201923.jpg
LH/2307/12,http://commons.wikimedia.org/wiki/Special:FilePath/Eug%C3%A8ne%20Revillout.jpg
LH/277/57,http://commons.wikimedia.org/wiki/Special:FilePath/JeromeNapoleonBonaparteII.jpg
LH/2486/41,http://commons.wikimedia.org/wiki/Special:FilePath/Schreuder%2C%20Pierre%20Louis%20%28La%20Gymnastique%2C%201889-12-01%29.jpg
19800035/390/52318,http://commons.wikimedia.org/wiki/Special:FilePath/Pau%20Marieton%20dins%20Jourdanne.png
19800035/366/49143,http://commons.wikimedia.org/wiki/Special:FilePath/SEM%20-%20Jean%20Stern.jpg
19800035/367/49318,http://commons.wikimedia.org/wiki/Special:FilePath/Albert%20Sarraut.png
19800035/381/51092,http://commons.wikimedia.org/wiki/Special:FilePath/Edmond%20Boissonnet%2C%20photograph%20of%20Andr%C3%A9%20Lhote%200023.jpg
19800035/90/11235,http://commons.wikimedia.org/wiki/Special:FilePath/Ren%C3%A9%20Leriche%201915.png
LH/1332/45,http://commons.wikimedia.org/wiki/Special:FilePath/Augustins%20-%20Salammb%C3%B4%20-%20Jean-Antoine-Marie%20Idrac%20RA%20966.jpg
LH/1527/42,http://commons.wikimedia.org/wiki/Special:FilePath/Louis%20Le%20Chatelier.jpg
