leonoreid,metier
LH/389/84,officier
19800035/100/12547,officier
LH/1353/21,officier
LH/1967/39,acteur
LH/1472/5,historien
LH/1472/5,historien
LH/1259/21,historien
LH/696/2,historien
19800035/360/48378,historien
LH/1336/16,historien
LH/1271/83,historien
LH/1271/83,historien
LH/538/40,historien
LH/1/60,écrivain
19800035/633/73210,écrivain
19800035/3/338,écrivain
19800035/1183/36948,écrivain
LH/2012/44,écrivain
LH/611/32,écrivain
LH/336/49,écrivain
LH/1462/23,écrivain
LH/2323/33,écrivain
LH/2225/30,écrivain
19800035/258/34353,écrivain
LH/2192/15,diplomate
19800035/1090/25307,écrivain
19800035/127/16018,critique littéraire
LH/715/57,artiste lyrique
LH/1259/21,dramaturge
19800035/849/97242,orientaliste
19800035/1412/63186,paléontologue
19800035/1319/52761,relieur
LH/671/9,médecin
LH/1675/26,compositeur
LH/1145/28,compositeur
LH/2189/51,compositeur
19800035/127/16018,romancier
19800035/1405/62310,industriel
19800035/447/59849,artiste graphique
LH/710/34,historien de l'art
LH/827/53,Officier de marine
LH/2771/51,métallurgiste
LH/2748/12,négociant
LH/2748/11,négociant
LH/1059/66,enseignant
LH/2248/12,architecte
LH/968/16,architecte
LH/1259/21,traducteur
LH/1336/16,traducteur
19800035/405/54256,résistant
19800035/849/97242,indianiste
19800035/1328/53941,enseignant
19800035/1183/36948,scénariste
LH/2012/44,scénariste
LH/1995/56,illustrateur scientifique
LH/1286/42,militaire
LH/1628/33,militaire
LH/1628/33,militaire
LH/2740/47,militaire
LH/1650/28,chef militaire
LH/2098/39,préfet
LH/673/32,missionnaire
LH/313/59,philosophe
LH/1586/32,compositeur
LH/895/40,compositeur
LH/858/65,compositeur
LH/2563/18,juge
LH/710/34,collectionneur d'œuvres d'art
LH/140/48,explorateur
19800035/1405/62310,collectionneur d'œuvres d'art
LH/691/15,journaliste
19800035/127/16018,journaliste
LH/2212/73,journaliste
19800035/159/20385,personnalité du monde des affaires
LH/702/62,artiste
LH/148/82,médecin
LH/1461/15,administrateur colonial
19800035/159/20385,ingénieur
LH/151/27,ingénieur
LH/2193/60,ingénieur
19800035/1200/38750,haut fonctionnaire
LH/673/32,zoologiste
19800035/823/93700,personnalité du monde des affaires
LH/2141/18,personnalité du monde des affaires
19800035/146/18571,conservateur
19800035/98/12242,personnalité du monde des affaires
LH/2470/83,compositeur
LH/1846/7,compositeur
LH/32/21,médecin
LH/1810/32,poète
LH/23/8,archevêque
LH/2568/9,scientifique
LH/1302/51,aérostier
19800035/267/35672,affichiste
LH/1243/58,organiste
19800035/267/35672,peintre
LH/561/31,peintre
LH/1974/55,peintre
19800035/616/69671,prêtre catholique
LH/673/32,prêtre catholique
LH/23/8,cardinal
LH/2246/47,écrivain
LH/2111/40,militaire
LH/909/20,militaire
LH/2508/78,militaire
LH/2777/51,militaire
19800035/90/11235,médecin
LH/1081/9,médecin
LH/2568/9,médecin
LH/93/6,médecin
19800035/231/30569,soprano
LH/1577/64,militaire
LH/578/11,militaire
LH/611/32,militaire
19800035/155/19732,militaire
LH/2423/18,sculpteur
LH/689/5,sculpteur
LH/538/40,biographe
LH/525/16,chef d'orchestre
LH/1131/25,ingénieur
19800035/1176/36127,ingénieur
LH/1508/35,professeur
19800035/176/22722,professeur
LH/738/3,professeur
19800035/176/22722,physicien
19800035/267/35672,illustrateur
LH/1974/55,illustrateur
LH/592/34,personnalité politique
LH/1577/64,personnalité politique
LH/578/11,personnalité politique
LH/2323/33,personnalité politique
LH/1935/15,personnalité politique
LH/1628/33,personnalité politique
LH/1628/33,personnalité politique
LH/1295/44,poète
LH/336/49,poète
LH/2323/33,poète
LH/2225/30,poète
LH/705/24,ingénieur
LH/909/20,ingénieur
LH/2111/40,personnalité politique
C/0/36,personnalité politique
LH/2508/78,personnalité politique
19800035/3/338,personnalité politique
LH/2563/18,personnalité politique
LH/2777/51,personnalité politique
LH/1/60,personnalité politique
LH/2064/29,personnalité politique
LH/2064/29,personnalité politique
LH/736/55,ingénieur
LH/1103/38,militaire
LH/2180/20,militaire
LH/2180/20,militaire
LH/934/36,militaire
LH/1012/52,militaire
LH/689/5,médailleur
19800035/146/18571,orientaliste
LH/736/55,physicien
19800035/98/12242,cuisinier
LH/2324/45,personnalité politique
LH/1598/2,personnalité politique
LH/1103/38,personnalité politique
LH/2180/20,personnalité politique
LH/2180/20,personnalité politique
LH/934/36,personnalité politique
19800035/367/49318,personnalité politique
LH/1012/52,personnalité politique
LH/2462/17,diplomate
19800035/132/16755,diplomate
19800035/575/65373,mathématicien
LH/2256/40,mathématicien
LH/2461/64,mathématicien
19800035/176/22722,mathématicien
LH/1830/16,mathématicien
LH/1124/70,mathématicien
LH/1286/42,officier
LH/1675/26,chef d'orchestre
LH/1145/28,chef d'orchestre
19800035/180/23258,artiste graphique
19800035/267/35672,artiste graphique
19800035/1328/53941,diplomate
19800035/761/86467,personnalité du monde des affaires
LH/2324/45,ingénieur
LH/1598/2,ingénieur
LH/934/36,ingénieur
LH/673/32,ornithologue
LH/1485/66,professeur d'université
LH/696/2,professeur d'université
19800035/146/18571,professeur d'université
LH/538/40,historien militaire
LH/1243/58,professeur d'université
LH/354/15,professeur d'université
19800035/103/12920,juriste
LH/1577/64,officier
LH/1472/5,journaliste
LH/1472/5,journaliste
LH/1259/21,journaliste
LH/1271/83,journaliste
LH/1271/83,journaliste
19800035/1475/70913,professeur
LH/1388/2,professeur
LH/1388/2,professeur
LH/1508/35,historien
LH/2645/39,historien
19800035/1287/48700,historien
LH/1810/32,historien
LH/738/3,historien
LH/1056/6,historien
LH/611/32,traducteur
LH/2141/18,horloger
LH/1012/52,ministre
LH/2012/44,dramaturge
LH/1462/23,dramaturge
LH/2225/30,dramaturge
LH/841/59,dramaturge
LH/710/27,géologue
LH/2324/45,professeur
19800035/90/11235,professeur
LH/2568/9,professeur
LH/1295/44,historien
LH/2064/29,juriste
LH/2064/29,juriste
LH/389/69,juriste
19800035/1367/58006,prêtre catholique
LH/1259/21,critique littéraire
19800035/1200/38750,anthropologue
LH/721/55,musicien
LH/128/54,peintre
LH/1/60,physicien
LH/32/21,chirurgien
LH/339/55,illustrateur
LH/777/67,illustrateur
LH/2193/60,inventeur
LH/128/54,sculpteur
LH/1145/28,violoniste
19800035/1475/70913,mathématicien
LH/705/24,mathématicien
LH/1485/66,philosophe
LH/1846/7,chef d'orchestre
19800035/1328/53941,haut fonctionnaire
19800035/735/83452,linguiste
19800035/1090/25307,archiviste
LH/2273/64,neurologue
LH/2273/64,vétérinaire
LH/2324/45,mathématicien
LH/673/32,explorateur
LH/702/62,explorateur
19800035/616/69671,clerc
19800035/1200/38750,botaniste
LH/673/32,botaniste
C/0/36,diplomate
19800035/3/338,diplomate
19800035/823/93700,entrepreneur
LH/738/3,traducteur
19800035/180/23258,aquafortiste
19800035/267/35672,aquafortiste
LH/2192/15,propriétaire d'esclaves
19800035/360/48378,archéologue
19800035/735/83452,professeur agrégé
19800035/146/18571,archéologue
LH/702/62,archéologue
LH/1935/15,zoologiste
LH/2324/45,physicien
LH/1081/9,physicien
LH/1675/26,directeur musical
19800035/575/65373,professeur d'université
LH/2005/26,professeur d'université
LH/463/45,professeur d'université
LH/1495/40,officier
C/0/36,officier
LH/2777/51,officier
19800035/159/20385,aérostier
LH/1650/11,astrophysicien
19800035/249/33220,astrophysicien
LH/2176/22,botaniste
LH/736/55,ingénieur électricien
19800035/258/34353,défenseur des droits de l'Homme
LH/538/40,essayiste
LH/1974/55,dessinateur
LH/1131/25,inventeur
LH/1810/32,journaliste
19800035/735/83452,grammairien
19800035/103/12920,professeur d'université
LH/710/27,professeur d'université
19800035/258/34353,professeur d'université
LH/23/8,prêtre catholique
19800035/1126/29084,peintre
LH/339/55,peintre
LH/777/67,peintre
LH/611/13,peintre
LH/934/36,officier
LH/1830/16,espérantiste
LH/1967/39,acteur de théâtre
19800035/231/30569,chanteur
19800035/761/86467,marchand d'art
LH/1598/2,économiste
LH/1428/42,écrivain
19800035/1183/36948,journaliste
LH/2012/44,journaliste
LH/1462/23,journaliste
LH/1995/9,vétérinaire
LH/1675/26,chorégraphe
LH/611/32,érudit classique
LH/841/59,chorégraphe
LH/696/2,administrateur colonial
19800035/735/83452,arménologue
LH/1131/25,aérostier
LH/1754/44,chirurgien
19800035/159/20385,cycliste
LH/892/52,professeur des écoles
LH/1053/48,artiste lyrique
19800035/735/83452,indoeuropéaniste
LH/1974/55,lithographe
LH/1243/58,professeur de musique
LH/571/70,prêtre catholique
19800035/846/96846,traducteur
LH/1388/2,traducteur
LH/1388/2,traducteur
19800035/633/73210,traducteur
LH/919/51,enseignant
LH/2324/45,inventeur
LH/148/82,psychiatre
LH/2180/20,diplomate
LH/2180/20,diplomate
19800035/367/49318,diplomate
LH/129/44,peintre
19800035/408/54554,peintre
LH/2285/51,peintre
LH/2157/25,peintre
LH/681/45,peintre
LH/1387/64,peintre
LH/436/35,peintre
LH/185/3,peintre
LH/835/33,médecin
LH/1222/38,médecin
LH/1356/49,avocat
19800035/408/54554,illustrateur
19800035/357/48014,médecin écrivain
19800035/90/11235,chirurgien
19800035/357/48014,chirurgien
LH/1846/7,organiste
LH/148/82,neurologue
LH/23/8,missionnaire
19800035/408/54554,graveur
LH/1453/45,architecte
19800035/159/20385,aviateur
LH/1522/15,aviateur
19800035/290/38904,bijoutier
19800035/290/38904,artiste
LH/1462/23,critique littéraire
LH/128/54,artiste visuel
19800035/98/12242,chef cuisinier
LH/592/34,anatomiste
19800035/1469/70045,joueur de tennis
LH/2005/26,botaniste
LH/1935/15,botaniste
LH/1913/28,botaniste
LH/1913/27,botaniste
19800035/103/13009,ingénieur
LH/1357/12,ingénieur
LH/508/30,ingénieur
19800035/823/93700,chimiste
LH/919/51,poète
19800035/761/86467,biographe
LH/23/8,professeur d'université
LH/1586/32,professeur d'université
19800035/633/73210,professeur d'université
LH/858/65,professeur d'université
LH/1995/9,professeur d'université
19800035/1328/53941,philosophe
LH/74/92,militaire
LH/74/92,militaire
LH/690/72,militaire
LH/1045/12,militaire
LH/1164/53,militaire
LH/1183/87,militaire
19800035/909/6165,militaire
LH/36/41,militaire
LH/1118/39,militaire
LH/542/64,militaire
LH/542/61,militaire
LH/2001/4,militaire
LH/307/71,militaire
19800035/239/31751,géologue
19800035/103/12920,sociologue
LH/895/40,musicien
LH/1589/26,conservateur
LH/1995/9,biologiste
LH/1810/32,critique littéraire
19800035/1287/48700,philosophe
LH/1628/33,philosophe
LH/1628/33,philosophe
LH/1913/28,mycologue
LH/1913/27,mycologue
LH/1081/9,historien
LH/1/60,cartographe
LH/2005/26,romaniste
LH/463/45,romaniste
LH/592/34,pathologiste
LH/1295/44,folkloriste
LH/1589/26,historien de l'art
19800035/3/338,répétiteur
LH/339/55,auteur de littérature pour la jeunesse
LH/1518/31,professeur de musique
LH/129/44,sculpteur
19800035/408/54554,sculpteur
LH/1846/7,directeur musical
LH/2012/44,prosateur
LH/1967/39,acteur de cinéma
19800035/1469/70045,soldat
LH/2012/44,librettiste
LH/1462/23,librettiste
LH/841/59,librettiste
19800035/159/20385,pilote automobile
LH/42/2,peintre
LH/892/29,peintre
LH/1059/66,peintre
LH/569/97,peintre
LH/1285/38,linguiste
LH/1295/44,linguiste
19800035/258/34353,linguiste
LH/1388/2,folkloriste
LH/1388/2,folkloriste
LH/1589/26,médiéviste
19800035/1183/36948,romancier
LH/2012/44,romancier
LH/2225/30,romancier
LH/2005/26,anthropologue
LH/2462/17,anthropologue
19800035/90/11235,physiologiste
LH/681/45,artiste graphique
LH/436/35,artiste graphique
LH/463/45,philologue
19800035/249/33220,alpiniste
19800035/742/84252,historien de l'art
LH/339/55,aquarelliste
LH/777/67,lithographe
LH/777/67,aquarelliste
19800035/846/96846,directeur
LH/93/6,botaniste
19800035/290/38904,souffleur de verre
19800035/90/11235,professeur d'université
LH/2470/83,professeur d'université
LH/1/60,archéologue
LH/1388/2,archéologue
LH/1388/2,archéologue
LH/1589/26,archéologue
19800035/159/20385,pilote de moto
LH/2462/17,archéologue
LH/525/16,chef de chant
LH/1285/38,philologue
LH/710/27,minéralogiste
LH/1675/26,musicologue
LH/309/19,mycologue
LH/1059/66,ornemaniste
LH/74/92,personnalité politique
LH/74/92,personnalité politique
19800035/245/32568,personnalité politique
19800035/1171/34653,personnalité politique
LH/906/21,personnalité politique
LH/835/33,personnalité politique
LH/866/46,personnalité politique
LH/1045/12,personnalité politique
19800035/69/8474,personnalité politique
LH/997/61,personnalité politique
LH/1908/27,personnalité politique
19800035/756/85778,personnalité politique
LH/1164/53,personnalité politique
LH/400/97,personnalité politique
LH/95/62,personnalité politique
LH/1262/27,personnalité politique
LH/20/58,personnalité politique
LH/2786/63,personnalité politique
LH/542/58,personnalité politique
LH/1356/49,personnalité politique
LH/2337/30,personnalité politique
LH/2337/30,personnalité politique
LH/767/47,personnalité politique
LH/1580/60,personnalité politique
LH/1580/60,personnalité politique
LH/1507/12,personnalité politique
LH/1484/65,personnalité politique
19800035/188/24458,personnalité politique
LH/1846/7,chorégraphe
19800035/761/86467,éditeur
19800035/846/96846,acteur de théâtre
LH/1/60,numismate
19800035/159/20385,ingénieur aérospatial
LH/777/67,graveur
LH/463/45,essayiste
LH/1145/28,professeur de musique
LH/2005/26,malacologiste
LH/1935/15,malacologiste
LH/1913/28,bryologiste
LH/1913/27,bryologiste
19800035/633/73210,critique littéraire
LH/1/60,explorateur
LH/2239/47,astronome
19800035/107/13429,astronome
LH/2491/9,astronome
19800035/1415/63604,astronome
19800035/846/96846,réalisateur
LH/128/54,dessinateur
LH/1295/44,lexicographe
LH/1102/54,juge
LH/1102/54,juge
LH/1754/44,joueur de rugby à XV
LH/659/25,scientifique
LH/1388/2,sinologue
LH/1388/2,sinologue
LH/895/40,musicologue
LH/2378/80,écrivain
LH/1151/52,écrivain
LH/618/72,écrivain
LH/371/23,écrivain
LH/371/23,écrivain
LH/1721/19,écrivain
LH/611/32,autobiographe
LH/611/32,helléniste
LH/684/52,écrivain
LH/1352/43,écrivain
LH/813/17,écrivain
LH/2687/3,écrivain
19800035/146/18610,photographe
LH/432/44,photographe
19800035/408/54554,dessinateur de presse
LH/2568/9,pathologiste
19800035/742/84252,archéologue
LH/1255/13,industriel
LH/2568/9,criminologue
LH/1693/54,compositeur
LH/1258/19,compositeur
19800035/1384/59899,compositeur
19800035/571/64930,compositeur
LH/672/64,compositeur
19800035/228/30088,compositeur
LH/1967/39,essayiste
19800035/98/12242,essayiste
LH/151/27,ingénieur civil
19800035/290/38904,vitrailliste
LH/1598/2,sociologue
19800035/159/20385,ingénieur aéronautique
LH/2462/17,assyriologue
LH/2193/60,ingénieur ferroviaire
LH/2655/3,naturaliste
LH/681/31,naturaliste
LH/1754/44,neurochirurgien
19800035/1176/36127,ingénieur aérospatial
LH/1589/26,essayiste
LH/1081/9,hydrologue
LH/1081/9,anthropologue
19800035/742/84252,anthropologue
19800035/290/38904,designer de bijoux
19800035/231/30569,artiste lyrique
19800035/846/96846,metteur en scène
LH/1255/13,explorateur
LH/2157/25,graveur
LH/681/45,graveur
LH/2378/80,architecte
LH/1420/91,architecte
LH/1102/54,avocat
LH/1102/54,avocat
LH/2655/3,photographe
19800035/1428/65195,photographe
LH/2574/4,scientifique
LH/1081/9,spéléologue
LH/681/45,lithographe
19800035/823/93718,philologue classique
LH/436/35,lithographe
LH/2470/83,professeur de musique
LH/1102/54,poète
LH/1102/54,poète
LH/2324/45,musicologue
LH/1826/7,médecin
LH/1/9,médecin
19800035/264/35226,médecin
LH/1304/36,photographe
LH/1721/19,poète
LH/2425/27,architecte
LH/978/8,ingénieur civil
LH/751/57,ophtalmologue
LH/2246/47,bibliographe
19800035/761/86467,collectionneur d'œuvres d'art
LH/2042/10,écrivain
LH/2142/3,écrivain
LH/23/8,diacre catholique
LH/1586/32,théoricien
19800035/1475/70913,topologue
LH/2177/16,compositeur
LH/129/44,fondeur
19800035/552/63041,ingénieur aéronautique
LH/1483/10,astronome
19800035/241/32035,ingénieur
LH/358/36,ingénieur
LH/2635/26,ingénieur
LH/2635/26,ingénieur
LH/1240/1,ingénieur
19800035/1415/63604,ingénieur
LH/1729/36,militaire
LH/455/50,militaire
LH/553/50,militaire
LH/2653/39,militaire
LH/1740/22,militaire
LH/1625/5,militaire
LH/1625/5,militaire
LH/365/10,écrivain
LH/1356/30,écrivain
LH/499/17,écrivain
LH/1391/74,écrivain
LH/177/103,écrivain
LH/436/35,dessinateur
19800035/1054/21411,juriste
LH/987/83,médecin
LH/987/83,médecin
19800035/765/86890,athlète
LH/2401/82,avocat
LH/25/63,ingénieur
LH/432/44,ingénieur
LH/659/25,ingénieur
LH/1045/12,officier
LH/1183/87,officier
LH/1211/41,officier
LH/1219/68,officier
LH/95/62,officier
LH/420/72,officier
LH/1246/38,officier
LH/2748/76,officier
LH/2754/14,officier
LH/1199/36,officier
LH/1118/39,officier
LH/1635/18,officier
LH/1484/65,officier
LH/875/56,officier
LH/610/1,bibliothécaire
LH/508/30,ingénieur militaire
19800035/823/93718,latiniste
19800035/742/84252,préhistorien
LH/895/40,professeur de musique
LH/1729/36,personnalité politique
19800035/607/68568,personnalité politique
19800035/264/35226,personnalité politique
LH/439/40,personnalité politique
LH/455/50,personnalité politique
LH/1264/55,personnalité politique
LH/357/19,personnalité politique
LH/1102/54,personnalité politique
LH/1102/54,personnalité politique
LH/2020/51,compositeur
19800035/1125/28967,compositeur
LH/542/58,agriculteur
LH/26/9,avocat
LH/681/9,avocat
LH/391/10,avocat
LH/235/68,architecte
LH/235/67,architecte
LH/906/21,officier
LH/1647/9,médecin
LH/1073/67,médecin
LH/1304/36,médecin
19800035/53/6431,avocat
19800035/610/68816,militaire
LH/925/44,personnalité politique
LH/553/50,personnalité politique
LH/1980/60,personnalité politique
LH/277/60,personnalité politique
LH/277/60,personnalité politique
LH/618/72,personnalité politique
LH/2401/82,personnalité politique
LH/371/23,personnalité politique
LH/371/23,personnalité politique
LH/1625/5,personnalité politique
LH/1625/5,personnalité politique
LH/1721/19,personnalité politique
19800035/22/2802,ingénieur
LH/235/68,ingénieur
LH/235/67,ingénieur
LH/2291/39,ingénieur
LH/743/44,militaire
LH/695/14,militaire
LH/167/17,militaire
LH/537/8,militaire
LH/429/82,militaire
LH/1183/83,militaire
LH/2448/45,militaire
LH/476/37,militaire
LH/476/34,militaire
LH/48/38,militaire
LH/734/59,militaire
LH/2228/34,militaire
LH/1356/30,poète
LH/1747/18,poète
19800035/1320/52880,poète
LH/1273/49,professeur
19800035/128/16199,physicien
LH/2635/26,physicien
LH/2635/26,physicien
LH/367/36,physicien
LH/2300/44,professeur
LH/499/17,professeur
LH/1005/77,professeur
LH/555/33,professeur
LH/987/83,professeur
LH/987/83,professeur
LH/330/59,architecte
LH/1714/23,architecte
LH/1937/21,architecte
19800035/802/90917,architecte
LH/987/83,personnalité politique
LH/987/83,personnalité politique
C/0/67,personnalité politique
C/0/67,personnalité politique
LH/1811/36,personnalité politique
LH/1740/22,mathématicien
LH/1258/19,chef d'orchestre
19800035/1384/59899,chef d'orchestre
19800035/571/64930,chef d'orchestre
LH/2142/3,marin
LH/1729/36,diplomate
LH/1264/55,diplomate
LH/357/19,diplomate
LH/1016/12,diplomate
19800035/1173/35868,historien
19800035/862/1356,physicien
LH/659/25,physicien
LH/2239/47,mathématicien
LH/358/36,mathématicien
LH/367/36,mathématicien
LH/767/47,chocolatier
LH/473/45,ingénieur des ponts et chaussées
LH/1453/45,ingénieur des ponts et chaussées
19800035/214/28058,botaniste
19800035/1066/22739,vitrailliste
19800035/214/28058,conservateur
19800035/1066/22739,peintre
LH/2411/11,peintre
LH/698/63,peintre
LH/327/59,militaire
LH/327/58,militaire
19800035/22/2802,entrepreneur
LH/135/54,historien
LH/1273/49,historien
LH/1264/55,historien
19800035/146/18610,diplomate
LH/371/23,diplomate
LH/371/23,diplomate
LH/158/29,ingénieur
LH/1073/67,ingénieur
LH/1464/1,ingénieur
LH/363/78,ingénieur
LH/684/52,dramaturge
LH/1352/43,dramaturge
C/0/67,diplomate
C/0/67,diplomate
LH/618/72,traducteur
19800035/1114/27573,traducteur
LH/432/44,inventeur
LH/473/45,agronome
LH/1391/74,officier
19800035/138/17458,aviateur
LH/352/24,graveur
LH/1877/44,graveur
LH/222/36,graveur
19800035/415/55490,personnalité politique
LH/167/17,personnalité politique
LH/26/9,personnalité politique
LH/681/9,personnalité politique
LH/391/10,personnalité politique
LH/358/62,personnalité politique
LH/2055/48,personnalité politique
LH/992/73,personnalité politique
LH/1268/43,personnalité politique
LH/1268/41,personnalité politique
LH/548/65,personnalité politique
LH/1183/83,personnalité politique
LH/2448/45,personnalité politique
LH/1647/9,personnalité politique
LH/48/38,personnalité politique
LH/734/59,personnalité politique
LH/1050/18,personnalité politique
LH/2201/50,personnalité politique
LH/223/63,personnalité politique
LH/359/21,personnalité politique
LH/1125/50,zoologiste
LH/1472/52,sculpteur
19800035/1280/47598,historien
LH/95/80,historien
LH/925/44,historien
LH/371/23,historien
LH/371/23,historien
LH/1226/88,prêtre catholique
LH/135/54,prêtre catholique
LH/813/17,prêtre catholique
19800035/214/28058,paléontologue
LH/914/36,philosophe
LH/2635/26,inventeur
LH/2635/26,inventeur
LH/365/10,dramaturge
LH/2020/51,dramaturge
19800035/1320/52880,dramaturge
19800035/214/28058,archéologue
19800035/1173/35868,archéologue
LH/2300/44,bibliothécaire
LH/499/17,bibliothécaire
LH/194/55,personnalité politique
LH/1942/38,personnalité politique
LH/1058/39,personnalité politique
LH/2361/35,personnalité politique
LH/530/22,personnalité politique
LH/1175/26,personnalité politique
LH/651/1,personnalité politique
LH/651/1,personnalité politique
LH/298/86,zoologiste
19800035/214/28058,anthropologue
LH/1016/12,officier de marine
19800035/103/13009,ingénieur aérospatial
LH/342/39,officier de marine
LH/767/47,industriel
LH/352/24,artiste
19800035/128/16199,chimiste
LH/566/8,soldat
LH/698/63,peintre animalier
LH/698/63,lithographe
LH/556/38,administrateur colonial
19800035/228/30088,pianiste
LH/499/17,traducteur
LH/1747/18,traducteur
19800035/1280/47598,traducteur
LH/767/47,joueur d'échecs
19800035/1428/65195,directeur de la photographie
LH/618/72,biographe
LH/1126/16,illustrateur
19800035/1066/22739,céramiste
LH/698/63,professeur de dessin
LH/811/20,chirurgien
LH/1980/60,chirurgien
19800035/571/64930,organiste
LH/1942/70,peintre
LH/1877/44,peintre
LH/222/36,peintre
LH/1151/52,peintre
LH/1546/82,peintre
LH/1410/26,peintre
LH/2476/36,peintre
LH/765/65,conservateur
LH/1258/19,pianiste
19800035/214/28058,herpétologiste
LH/698/63,dessinateur
LH/1733/41,géologue
LH/555/33,chirurgien
LH/235/68,ingénieur des ponts et chaussées
LH/235/67,ingénieur des ponts et chaussées
LH/2291/39,aérostier
LH/586/80,naturaliste
LH/698/63,portraitiste
19800035/909/6165,résistant
LH/352/24,peintre
LH/1842/15,peintre
19800035/1326/53584,peintre
LH/1089/16,sculpteur
LH/1842/15,illustrateur
LH/463/91,illustrateur
19800035/1320/52880,médecin écrivain
LH/177/103,illustrateur
LH/1733/41,professeur d'université
LH/1240/1,professeur d'université
LH/135/54,presbytre
LH/271/18,peintre
LH/1126/16,peintre
LH/1030/38,peintre
LH/859/58,peintre
19800035/1320/52880,biographe
19800035/53/6431,espérantiste
19800035/434/58028,acteur
LH/2491/9,orientaliste
LH/678/49,médecin
LH/2632/24,médecin
LH/987/83,biologiste
LH/987/83,biologiste
LH/2655/3,géologue
LH/2020/51,dramaturge de production
19800035/1384/59899,directeur musical
LH/298/86,botaniste
19800035/1270/46381,botaniste
LH/135/54,historien de l'Église
LH/1352/43,journaliste
LH/1154/30,enseignant
LH/2687/3,prêtre catholique
LH/1811/36,prêtre catholique
LH/298/86,mycologue
LH/773/28,personnalité du monde des affaires
LH/1166/2,personnalité du monde des affaires
LH/1278/18,explorateur
LH/2425/27,designer
LH/1352/43,critique
19800035/237/31439,artiste graphique
LH/681/31,agronome
LH/886/31,géographe
19800035/462/61805,avocat
LH/1125/50,ornithologue
LH/859/60,peintre
19800035/237/31439,peintre
LH/463/91,peintre
LH/177/103,peintre
19800035/10/1198,militaire
LH/669/22,militaire
LH/760/33,militaire
19800035/1483/72298,militaire
C/0/57,militaire
LH/736/8,militaire
LH/1310/39,militaire
LH/78/49,militaire
LH/1183/54,militaire
LH/1646/30,artiste lyrique
LH/298/86,ichtyologiste
LH/1131/7,critique littéraire
LH/1352/43,critique littéraire
19800035/1125/28967,compositeur de musique de film
LH/670/45,professeur d'université
LH/365/10,journaliste
LH/499/17,journaliste
LH/95/80,journaliste
LH/1113/49,architecte
LH/1729/36,explorateur
LH/2239/47,alpiniste
LH/1030/38,céramiste
LH/298/86,entomologiste
19800035/1114/27573,entomologiste
19800035/237/31439,sculpteur
LH/2574/4,climatologue
19800035/1270/46381,collectionneur
LH/1/9,ophtalmologue
LH/298/86,ornithologue
LH/1240/1,essayiste
LH/1877/44,médailleur
LH/222/36,artiste graphique
LH/2351/64,écrivain de science-fiction
19800035/607/68568,résistant
LH/2155/82,helléniste
LH/1126/16,pastelliste
LH/1483/10,physicien
LH/1125/50,paléontologue
LH/659/25,ingénieur hydraulicien
LH/1125/50,professeur d'université
LH/618/72,professeur d'université
LH/583/77,naturaliste
LH/358/36,ingénieur civil
19800035/1270/46381,lichénologue
LH/586/42,ingénieur
LH/600/25,ingénieur
LH/786/2,ingénieur
LH/298/86,carcinologiste
19800035/228/30088,professeur de musique
19800035/22/2802,aviateur
19800035/53/6431,aviateur
LH/2291/39,aviateur
LH/1352/43,critique dramatique
LH/1240/1,métallurgiste
LH/657/5,sculpteur
LH/2668/75,sculpteur
LH/1942/70,sculpteur
LH/1877/44,sculpteur
LH/2476/36,sculpteur
LH/1183/83,officier
LH/2448/45,officier
LH/734/59,officier
LH/2228/34,officier
LH/1258/19,chorégraphe
19800035/571/64930,chorégraphe
LH/2689/34,juriste
LH/2042/10,imprimeur
LH/2168/29,juriste
LH/1842/15,dessinateur de timbres
19800035/460/61581,cycliste
LH/596/3,personnalité politique
LH/615/64,personnalité politique
LH/640/21,personnalité politique
LH/678/49,personnalité politique
LH/710/2,personnalité politique
19800035/727/82646,personnalité politique
19800035/93/11603,personnalité politique
LH/736/8,personnalité politique
LH/2761/14,personnalité politique
19800035/871/2374,personnalité politique
LH/1133/26,personnalité politique
LH/1148/5,personnalité politique
LH/1200/25,personnalité politique
LH/1110/7,photographe
LH/371/23,journaliste
LH/371/23,journaliste
19800035/460/61581,journaliste
LH/987/83,physiologiste
LH/987/83,physiologiste
C/0/67,financier
C/0/67,financier
LH/1131/7,historien de la littérature
LH/684/52,chansonnier
LH/1102/54,chansonnier
LH/1102/54,chansonnier
LH/1336/3,architecte
LH/1447/8,architecte
19800035/1127/29196,architecte
LH/499/17,critique littéraire
19800035/1320/52880,critique littéraire
LH/95/80,critique littéraire
LH/1125/50,entomologiste
19800035/1428/65195,producteur de cinéma
LH/327/59,officier
LH/327/58,officier
LH/695/14,officier
LH/167/17,officier
LH/537/8,officier
LH/429/82,officier
19800035/285/38297,avocat
LH/2300/44,archéologue
LH/95/80,chroniqueur
LH/765/65,égyptologue
LH/1258/19,critique musical
LH/1662/47,écrivain
LH/1102/54,goguettier
LH/1102/54,goguettier
LH/95/80,journaliste d'opinion
19800035/220/28930,militaire
LH/1346/64,militaire
LH/83/4,militaire
19800035/593/67197,militaire
LH/855/10,militaire
LH/2761/68,militaire
LH/1291/23,militaire
LH/2265/51,militaire
LH/2055/29,militaire
LH/1434/6,militaire
LH/1517/8,militaire
LH/1620/37,militaire
LH/2277/53,militaire
LH/151/75,militaire
LH/1215/3,militaire
LH/1743/38,militaire
LH/1670/26,militaire
19800035/268/35908,militaire
